program,function,names,circuit,circuit_name,circuit_members,function_main_width,circuit_main_width,canonical_seed_words,canonical_seed_bytes,guarded_u8_seed_bytes_estimate,function_expansion_canonical,circuit_expansion_canonical,static_operation_sites,static_external_read_sites,preparation_arithmetic_sites,row_operation_sites,real_rows
ixvm,0,memo_u32_less_than,0,ixvm_group_00,4,16,33,3,24,16,5.333333,11.000000,1,0,0,1,
ixvm,1,address_eq_tail,1,ixvm_group_01,11,74,122,67,536,80,1.104478,1.820896,169,2,0,163,
ixvm,2,address_eq,2,address_eq,1,70,70,68,544,80,1.029412,1.029412,5,3,1,4,
ixvm,4,u64_byte_count,3,u64_byte_count,1,144,144,9,72,16,16.000000,16.000000,128,0,0,0,
ixvm,5,u64_is_zero,4,u64_is_zero,1,19,19,9,72,16,2.111111,2.111111,9,0,0,0,
ixvm,13,u64_eq,5,ixvm_group_02,12,27,50,17,136,24,1.588235,2.941176,17,0,0,8,
ixvm,14,u64_add,6,ixvm_group_03,4,33,63,17,136,24,1.941176,3.705882,22,0,0,21,
ixvm,15,relaxed_u64_succ,5,ixvm_group_02,12,19,50,9,72,16,2.111111,5.555556,52,0,0,0,
ixvm,16,relaxed_u64_pred,7,ixvm_group_04,2,19,20,9,72,16,2.111111,2.222222,52,0,0,0,
ixvm,17,flatten_u64,7,ixvm_group_04,2,10,20,9,72,16,1.111111,2.222222,20,0,0,0,
ixvm,21,verify_bytes_against,8,ixvm_group_05,12,72,104,71,568,80,1.014085,1.464789,53,6,46,6,
ixvm,22,bytes_to_addr,9,ixvm_group_06,8,41,79,40,320,48,1.025000,1.975000,53,7,46,7,
ixvm,23,blake3_next_layer,10,ixvm_group_07,7,175,200,170,1360,184,1.029412,1.176471,116,7,103,7,
ixvm,24,blake3_compress_layer,11,ixvm_group_08,3,141,174,137,1096,144,1.029197,1.270073,8,6,2,6,
ixvm,25,blake3_compress_chunks,12,blake3_compress_chunks,1,17,17,13,104,24,1.307692,1.307692,10,5,1,5,
ixvm,26,bytes_to_block,13,bytes_to_block,1,195,195,194,1552,208,1.005155,1.005155,64,64,0,64,
ixvm,27,pad_block,14,pad_block,1,8,8,5,40,16,1.600000,1.600000,6,2,2,2,
ixvm,28,blake3_finish,11,ixvm_group_08,3,168,174,154,1232,168,1.090909,1.129870,142,15,127,17,
ixvm,29,blake3_compress_block,15,blake3_compress_block,1,177,177,174,1392,184,1.017241,1.017241,129,24,100,31,
ixvm,33,blake3_compress,16,blake3_compress,1,533,533,162,1296,176,3.290123,3.290123,483,1,0,353,
ixvm,34,put_expr,17,ixvm_group_09,11,90,169,78,624,88,1.153846,2.166667,45,33,0,33,
ixvm,35,put_u64_le,18,ixvm_group_10,16,16,63,13,104,24,1.230769,4.846154,6,2,4,2,
ixvm,36,put_tag0,19,ixvm_group_11,11,18,56,13,104,24,1.384615,4.307692,19,6,13,8,
ixvm,37,put_tag2,20,ixvm_group_12,16,19,106,14,112,24,1.357143,7.571429,28,6,22,8,
ixvm,38,put_tag4,19,ixvm_group_11,11,19,56,14,112,24,1.357143,4.000000,28,6,22,8,
ixvm,39,put_u64_list,21,ixvm_group_13,15,17,58,15,120,24,1.133333,3.866667,3,3,0,3,
ixvm,40,put_lam_mode;put_quot_kind,22,ixvm_group_14,16,8,42,4,32,16,2.000000,10.500000,12,4,8,4,
ixvm,41,put_all_mode,23,ixvm_group_15,16,13,58,5,40,16,2.600000,11.600000,24,8,16,8,
ixvm,42,app_telescope_count,24,ixvm_group_16,16,55,114,53,424,64,1.037736,2.150943,11,3,0,3,
ixvm,43,lam_telescope_count,24,ixvm_group_16,16,55,114,53,424,64,1.037736,2.150943,11,3,0,3,
ixvm,44,all_telescope_count,24,ixvm_group_16,16,55,114,53,424,64,1.037736,2.150943,11,3,0,3,
ixvm,45,put_app_telescope,24,ixvm_group_16,16,60,114,58,464,72,1.034483,1.965517,5,5,0,5,
ixvm,46,put_lam_telescope,24,ixvm_group_16,16,61,114,59,472,72,1.033898,1.932203,6,6,0,6,
ixvm,47,put_all_telescope,24,ixvm_group_16,16,61,114,59,472,72,1.033898,1.932203,6,6,0,6,
ixvm,48,put_address,25,ixvm_group_17,6,68,136,67,536,80,1.014925,2.029851,65,33,32,33,
ixvm,49,pack_def_kind_safety,22,ixvm_group_14,16,12,42,3,24,16,4.000000,14.000000,9,0,0,0,
ixvm,50,univ_succ_count,26,ixvm_group_18,16,37,101,35,280,48,1.057143,2.885714,11,3,0,3,
ixvm,51,univ_succ_base,20,ixvm_group_12,16,30,106,28,224,40,1.071429,3.785714,2,2,0,2,
ixvm,52,put_univ,26,ixvm_group_18,16,37,101,32,256,40,1.156250,3.156250,38,16,2,16,
ixvm,53,put_expr_list,27,ixvm_group_19,12,28,103,26,208,40,1.076923,3.961538,4,4,0,4,
ixvm,54,put_univ_list,28,ixvm_group_20,15,19,57,17,136,24,1.117647,3.352941,4,4,0,4,
ixvm,55,put_address_list,28,ixvm_group_20,15,10,57,8,64,16,1.250000,7.125000,3,3,0,3,
ixvm,56,put_definition,24,ixvm_group_16,16,56,114,55,440,64,1.018182,2.072727,8,7,1,7,
ixvm,57,put_recursor_rule,20,ixvm_group_12,16,32,106,31,248,40,1.032258,3.419355,3,3,0,3,
ixvm,58,put_recursor_rule_list,21,ixvm_group_13,15,18,58,16,128,24,1.125000,3.625000,3,3,0,3,
ixvm,59,put_recursor,29,ixvm_group_21,12,82,219,81,648,88,1.012346,2.703704,15,11,4,11,
ixvm,60,put_axiom,26,ixvm_group_18,16,34,101,33,264,40,1.030303,3.060606,5,4,1,4,
ixvm,61,put_quotient,26,ixvm_group_18,16,34,101,33,264,40,1.030303,3.060606,4,4,0,4,
ixvm,62,put_constructor,24,ixvm_group_16,16,61,114,60,480,72,1.016667,1.900000,8,7,1,7,
ixvm,63,put_constructor_list,26,ixvm_group_18,16,43,101,41,328,48,1.048780,2.463415,3,3,0,3,
ixvm,64,put_inductive,24,ixvm_group_16,16,63,114,62,496,72,1.016129,1.838710,10,9,1,9,
ixvm,65,put_definition_proj;put_inductive_proj;put_recursor_proj,19,ixvm_group_11,11,14,56,13,104,24,1.076923,4.307692,2,2,0,2,
ixvm,66,put_constructor_proj,8,ixvm_group_05,12,23,104,22,176,32,1.045455,4.727273,3,3,0,3,
ixvm,67,put_mut_const,20,ixvm_group_12,16,52,106,49,392,56,1.061224,2.163265,12,6,6,6,
