new_index,old_index,predicted_gib
0,570,168.71
1,557,98.98
2,357,75.88
3,500,63.59
4,404,57.88
5,88,54.89
6,563,53.0
7,554,52.72
8,528,51.13
9,543,50.9
10,447,50.11
11,126,49.89
12,136,49.29
13,506,49.27
14,154,49.13
15,284,49.04
16,560,49.02
17,424,49.01
18,193,48.34
19,533,48.06
20,340,47.55
21,342,46.65
22,305,46.56
23,379,46.55
24,367,45.6
25,392,45.47
26,174,45.37
27,157,45.14
28,177,44.98
29,472,44.97
30,242,44.92
31,261,44.65
32,494,44.61
33,258,44.59
34,559,44.54
35,217,44.47
36,448,44.4
37,214,44.38
38,240,44.01
39,287,43.93
40,18,43.88
41,331,43.79
42,363,43.73
43,269,43.72
44,341,43.64
45,141,43.59
46,391,43.47
47,316,43.28
48,82,43.27
49,203,43.15
50,2,42.95
51,330,42.94
52,547,42.66
53,538,42.65
54,133,42.52
55,265,42.48
56,520,42.43
57,29,42.3
58,72,42.14
59,322,42.07
60,140,42.01
61,336,42.0
62,12,41.98
63,516,41.93
64,480,41.74
65,22,41.66
66,158,41.57
67,164,41.28
68,245,40.92
69,270,40.86
70,355,40.76
71,50,40.69
72,206,40.54
73,457,40.38
74,273,40.17
75,335,40.17
76,348,40.12
77,49,40.11
78,413,40.1
79,364,40.07
80,39,40.05
81,209,39.96
82,519,39.9
83,139,39.88
84,470,39.82
85,456,39.73
86,514,39.64
87,354,39.61
88,403,39.54
89,144,39.52
90,368,39.48
91,440,39.4
92,434,39.21
93,112,39.21
94,248,39.2
95,401,39.16
96,197,39.07
97,207,38.99
98,495,38.98
99,196,38.92
100,96,38.89
101,95,38.88
102,37,38.75
103,373,38.7
104,100,38.69
105,546,38.64
106,428,38.62
107,213,38.62
108,114,38.4
109,142,38.35
110,561,38.3
111,246,38.18
112,185,38.13
113,464,38.07
114,241,37.87
115,453,37.8
116,347,37.77
117,522,37.68
118,310,37.52
119,319,37.49
120,564,37.46
121,407,37.34
122,23,37.3
123,44,37.17
