leaf,blocks,consts,bytes,own_size,frontier_bytes,heartbeats,subst,whnf,def_eq,nat_arith,intern,unfolded_bytes,foreign_unfolded_bytes,delta_edges,foreign_delta_edges,record_bytes,execution_s,proof_s,trace_shards
0,2656,2691,17174875,17174875,7568420,7604864,8906226,506208,4995165,7684,160571825,53581061,52971544,165347,164607,22627733879,126.6,37.38,10
1,2900,2921,15602031,15602031,9314534,6969295,7178743,569930,4179980,13546,162139262,59257156,58770733,181154,180703,22211708553,123.2,35.062,10
2,5780,5816,26906018,26906018,10882088,12502174,14907460,920188,6223066,4797,286243657,99009836,92763537,248145,243823,35234591210,226.3,54.436,17
3,2785,2787,17778939,17778939,9579276,8726323,11229668,609116,5355606,6494,208936676,76852121,75877643,213830,212737,27042659172,170.6,39.31,12
4,5911,5916,21721948,21721948,13027674,10348697,11656227,846564,5581588,15529,247268794,84920245,83633398,252411,250972,31965883846,202.1,47.54,14
5,5280,5310,17908081,17908081,10131263,9164393,8441663,778662,4043487,17287,182990629,61328905,60729240,199092,198209,26119443798,160.9,37.393,11
6,8092,8149,14655110,14655110,7012543,5297882,6999721,587457,2643516,4029,119167702,34379303,32974473,122137,119821,19327863328,103.3,29.675,9
7,2311,2318,14305348,14305348,7464979,8549394,8390165,617085,4646305,11002,191441016,67399601,65861788,176979,175820,22010623601,129.9,33.658,10
8,2249,2254,12700687,12700687,6554175,8099623,9389054,635535,4444285,1575,210512140,77227591,73024866,180195,178834,20133699153,119.3,31.454,9
9,4897,4911,22188482,22188482,9987020,17304781,10437713,1247447,5349565,58258,287025061,77349716,75484411,227617,224219,34679281410,230.0,52.798,15
10,4084,4107,17716651,17716651,9352175,8180490,10991273,682203,4670500,5556,228547131,70817466,69120007,193127,191400,28006795205,185.7,40.317,13
11,4021,4058,14558845,14558845,6817969,6599940,9755058,583170,3764967,1580,190260575,53538999,49407184,131996,129182,23488809601,149.1,36.973,11
12,13002,13077,26410662,26410662,9467659,7238136,15628472,719070,5033860,2457,249935043,67332247,60518133,197542,192053,35361943509,248.1,56.205,17
13,807,812,14783970,14783970,9030125,3425957,8673999,243646,2144421,1345,110690428,27334350,26936157,66897,66721,23579260115,177.8,34.51,12
14,1262,1266,12129598,12129598,7211437,4245892,6577266,326994,2346896,2760,104932790,29085698,28486476,77261,76635,18690073253,139.1,28.988,9
