work,worker,proof_s
"Claim(6)",0,28.535225397
"Claim(0)",3,31.034596423
"Claim(4)",2,32.586070028
"Claim(2)",1,33.995954506
"Claim(1)",0,32.753174131
"Claim(3)",3,33.381119718
"Claim(16)",2,35.970649289
"Claim(14)",1,34.708737215
"Claim(18)",0,33.458592016
"Claim(5)",3,38.89787947
"Claim(15)",2,37.509808749
"Claim(12)",1,38.916067074
"Claim(19)",0,35.651754117
"Claim(13)",3,40.69622812
"Join(2)",0,24.987756035
"Claim(10)",2,44.252167146
"Claim(9)",1,41.15802298
"Join(5)",2,24.053640435
"Join(9)",1,25.235541118
"Claim(7)",0,37.536064629
"Claim(17)",3,42.249400478
"Join(29)",2,24.202933213
"Join(36)",1,23.22674939
"Claim(8)",3,39.428929451
"Claim(11)",0,43.113411638
"Claim(20)",2,37.972678069
"Claim(21)",1,42.545161126
"Join(6)",0,21.333401092
"Claim(23)",3,38.020659941
"Claim(22)",2,38.638918771
"Claim(27)",1,43.1707624
"Claim(24)",0,45.378251564
"Claim(26)",3,47.35433652
"Join(12)",1,22.569235476
"Claim(29)",2,38.462385894
"Join(17)",3,25.396845358
"Join(32)",1,23.688910754
"Claim(25)",0,46.53560412
"Join(39)",2,26.281441883
"Join(22)",3,26.009279162
"Claim(31)",1,43.56365224
"Claim(30)",0,43.391987677
"Claim(28)",2,45.504207244
"Claim(33)",3,48.921496532
"Claim(34)",1,48.645133971
"Claim(35)",0,50.876761037
"Claim(36)",2,45.763928018
"Join(33)",0,19.544266229
"Claim(32)",3,48.512368244
"Join(19)",2,23.663458549
"Claim(39)",1,39.36193888
"Join(13)",2,20.536375874
"Join(41)",3,25.093968112
"Join(56)",1,24.126953974
"Claim(37)",0,43.974818859
"Join(46)",2,24.284445834
"Join(24)",3,24.178199536
"Join(49)",0,25.859115446
"Join(53)",2,24.006716317
"Claim(40)",1,39.106849165
"Claim(38)",3,41.410742194
"Join(66)",0,27.451599878
"Join(14)",3,20.814247104
"Claim(41)",2,44.923133394
"Claim(46)",1,43.886767701
