work,worker,proof_s
"Claim(0)",2,38.849275627
"Claim(3)",0,46.969320824
"Claim(14)",3,46.630848553
"Claim(1)",1,46.828135832
"Claim(11)",2,45.162800378
"Claim(5)",0,46.344307878
"Claim(15)",3,49.92803009
"Claim(2)",1,53.872034608
"Claim(10)",2,50.813076746
"Claim(4)",0,55.297867728
"Claim(8)",3,60.569809527
"Claim(12)",1,50.483114223
"Claim(9)",2,57.426127284
"Join(2)",0,28.934888334
"Join(28)",3,30.942489933
"Claim(7)",1,57.492621113
"Claim(6)",0,53.109142834
"Claim(13)",2,57.927006698
"Claim(16)",3,48.085324279
"Join(7)",1,32.365483888
"Join(4)",2,30.572484166
"Claim(18)",0,48.793974555
"Join(23)",2,29.380715041
"Claim(17)",3,56.334270456
"Claim(21)",1,52.94418985
"Join(18)",0,31.94228283
"Join(13)",3,32.003928338
"Join(9)",0,26.944617082
"Claim(19)",2,55.88124605
"Claim(24)",1,53.549700275
"Claim(22)",3,57.015168562
"Claim(20)",0,65.439526132
"Claim(23)",2,62.51602654
"Claim(26)",1,64.951232844
"Join(25)",0,28.936157305
"Claim(25)",3,66.264217848
"Join(15)",1,30.00160464
"Join(10)",0,23.488784754
"Claim(29)",2,51.168595665
"Join(36)",3,30.562769881
"Join(31)",1,31.860734035
"Join(41)",0,30.407904206
"Claim(30)",2,49.674664811
"Join(19)",2,27.518826074
"Claim(27)",3,70.147586084
"Claim(31)",0,67.079612632
"Claim(28)",1,68.433544035
"Join(49)",2,33.489054234
"Join(32)",3,26.296806801
"Join(38)",2,31.749619429
"Join(43)",3,31.424329111
"Claim(35)",1,56.63710983
"Claim(33)",0,61.955045923
"Join(20)",3,28.729320482
"Join(58)",2,31.489128766
"Join(33)",2,24.15904181
"Claim(34)",1,57.389644405
"Join(54)",3,35.935701813
"Claim(36)",0,58.574251078
"Join(51)",1,34.497365943
"Join(44)",1,24.872217011
"Claim(32)",2,70.702293884
"Claim(39)",3,71.292919699
"Claim(38)",0,73.53473161
"Join(68)",3,30.015760024
"Claim(43)",1,47.639257842
"Join(60)",0,29.901684464
"Claim(40)",2,69.506423578
"Join(45)",2,26.135362174
"Claim(45)",1,67.339150665
"Claim(42)",0,71.473448214
"Join(55)",2,28.051135825
"Claim(37)",3,84.460756881
"Join(63)",0,33.037164872
"Join(70)",3,27.503107632
"Claim(48)",2,40.257167342
"Claim(44)",1,58.162834521
"Join(77)",3,35.613832464
"Join(46)",2,30.685010195
"Claim(46)",0,59.826864286
"Claim(47)",1,71.10007219
"Join(73)",0,35.103016088
"Claim(52)",2,60.491089836
"Claim(41)",3,75.831327885
"Join(87)",0,32.734489563
"Join(64)",3,25.70738697
"Claim(51)",1,67.736723181
"Claim(50)",2,69.219100025
"Join(74)",1,26.238610394
"Claim(53)",0,61.995851477
"Claim(55)",3,65.996556594
"Join(92)",1,33.657306808
"Join(80)",3,34.888807548
"Claim(54)",2,67.608090101
"Join(65)",1,24.724138156
"Claim(56)",0,59.046487197
"Join(89)",3,31.386117236
"Join(101)",1,34.083209353
"Claim(62)",0,45.86725949
"Claim(57)",2,67.395115887
"Claim(63)",1,61.073421524
"Claim(59)",0,73.46609762
"Claim(49)",3,95.896502315
"Claim(60)",2,67.711610867
"Join(106)",0,32.022629389
"Claim(61)",1,65.618220217
"Claim(64)",3,57.503561165
"Join(81)",0,27.025986287
"Claim(65)",2,54.648661359
"Join(109)",1,30.763589488
"Join(93)",0,26.47958562
"Join(124)",2,31.94663015
"Claim(66)",3,48.04612283
"Claim(67)",1,48.815809602
"Join(96)",2,31.338031016
"Claim(71)",3,44.721613952
"Join(118)",2,32.142269388
"Claim(58)",0,77.694573418
"Claim(68)",1,56.007860659
"Join(82)",3,22.374688826
"Join(111)",2,27.936437342
"Join(127)",0,30.549877628
"Join(131)",3,29.696621614
"Claim(69)",1,54.107301139
"Join(98)",3,30.16382281
"Claim(72)",2,49.041555096
"Claim(74)",0,50.378245279
"Join(112)",2,26.694265878
"Join(115)",3,33.841097765
"Claim(73)",1,57.959309765
"Join(128)",2,24.708527885
"Join(83)",3,26.335760239
"Claim(70)",0,55.287407234
"Join(133)",1,27.312506766
"Join(102)",2,24.381815884
"Join(141)",3,27.783018851
"Join(119)",2,27.561462266
"Claim(75)",0,59.452512579
"Claim(76)",1,59.343972883
"Join(144)",2,28.934973567
"Join(136)",0,31.641318682
"Claim(77)",3,69.653077091
"Join(103)",1,25.059935708
"Join(84)",2,33.178648555
"Join(120)",0,20.993704136
"Join(145)",1,20.676466543
"Join(137)",3,21.701037223
"Join(148)",2,29.572191495
"Join(121)",3,24.133997662
"Join(138)",1,21.47581632
"Join(150)",2,26.74087326
"Join(151)",0,20.37807476
"Join(152)",2,24.524908915
"Join(153)",2,28.864273722
"Root",0,36.505241008
"Root",0,10.996704028
"Root",0,5.18880279
"Root",0,3.102716852
