work,worker,proof_s
"Claim(0)",1,31.919911894
"Claim(3)",2,37.235435471
"Claim(14)",0,38.835284597
"Claim(11)",3,38.949040757
"Claim(1)",1,40.159112617
"Claim(5)",2,39.206094003
"Claim(15)",0,43.533130781
"Claim(10)",1,44.011080303
"Claim(2)",3,47.827321869
"Claim(6)",2,44.738929378
"Claim(4)",0,48.289236325
"Join(2)",2,25.129424469
"Claim(12)",1,47.517440831
"Claim(8)",3,51.602901872
"Join(28)",2,25.279217638
"Claim(9)",0,47.159215109
"Claim(7)",1,48.292851798
"Claim(13)",3,50.378029954
"Claim(16)",2,36.740470031
"Join(7)",0,24.688575152
"Claim(18)",3,41.012623638
"Join(4)",1,25.35034303
"Claim(17)",0,47.674794705
"Claim(21)",2,45.275188547
"Join(13)",1,28.672772292
"Join(18)",0,27.442813483
"Claim(19)",3,50.389410481
"Join(9)",2,23.752274935
"Join(23)",0,26.908877428
"Claim(24)",1,48.098270696
"Claim(22)",2,52.140022056
"Claim(20)",3,57.959428527
"Claim(26)",0,55.264260977
"Claim(23)",1,54.336008353
"Join(31)",0,30.010991181
"Claim(29)",3,49.168649239
"Join(15)",1,24.953196757
"Claim(25)",2,57.887003291
"Join(10)",0,19.971969553
"Join(36)",3,26.191096287
"Join(25)",1,25.372093213
"Join(41)",0,29.040785749
"Claim(30)",2,43.962585407
"Join(32)",0,19.874421958
"Claim(27)",3,56.316993669
"Join(19)",2,23.550630646
"Claim(28)",1,57.861541468
"Join(38)",1,26.940094232
"Claim(31)",3,53.581355141
"Claim(34)",0,51.053060847
"Claim(33)",2,58.671573888
"Join(43)",1,27.095877868
"Join(33)",3,20.675805583
"Join(20)",2,25.812638854
"Claim(35)",0,49.829590651
"Join(49)",2,28.124033511
"Claim(36)",1,53.356582427
"Claim(32)",3,60.443488986
"Join(58)",0,26.798291806
"Join(44)",1,22.244485682
"Join(54)",2,28.924029176
"Claim(43)",3,47.985905366
"Claim(39)",0,62.698513618
"Claim(38)",1,66.757415766
"Claim(40)",2,66.769646994
"Join(68)",0,26.504574104
"Claim(44)",3,53.508425863
"Join(51)",1,26.44407731
"Join(60)",2,25.153718042
"Join(45)",3,25.312410237
"Join(63)",0,36.881642882
"Claim(48)",3,37.988287109
"Claim(42)",2,66.305618898
"Claim(37)",1,72.415572818
"Join(70)",3,25.213315465
"Claim(41)",0,67.240214284
"Join(77)",2,28.99466836
"Join(87)",1,27.437630726
"Join(55)",2,23.121611622
"Join(64)",1,23.44882058
"Claim(45)",3,54.093500547
"Claim(46)",0,50.57756311
"Join(46)",2,29.528187608
"Claim(52)",1,52.813122962
"Claim(51)",0,57.370615988
"Claim(47)",3,63.207209054
"Join(73)",1,32.056065042
"Claim(50)",2,63.054210337
"Join(65)",3,23.440214727
"Join(80)",0,30.644312824
"Join(89)",3,26.43791465
"Claim(56)",1,53.076892034
"Claim(53)",2,54.752162475
"Join(74)",1,24.008254213
"Claim(55)",0,58.656046281
"Join(101)",0,27.276988891
"Claim(54)",3,63.484082479
"Join(92)",1,29.661855364
"Claim(57)",2,61.951834924
"Join(81)",0,24.676252187
"Claim(62)",3,40.207572851
"Claim(63)",2,51.013301823
"Claim(49)",1,88.534307895
"Join(93)",2,25.936725754
"Claim(60)",3,59.822656157
"Claim(58)",0,76.505511163
"Join(82)",0,21.03237228
"Claim(64)",2,51.669542293
"Claim(67)",3,45.685184964
"Join(106)",0,27.825850759
"Claim(59)",1,65.747901171
"Join(124)",3,27.269747957
"Join(109)",2,27.883485487
"Join(96)",1,27.682060675
"Join(83)",1,24.350072676
"Claim(61)",0,57.936336553
"Claim(66)",2,44.926326812
"Claim(65)",3,51.148252846
"Claim(71)",1,39.007998495
"Join(115)",3,29.3699168
"Claim(68)",0,50.339000416
"Claim(72)",2,44.807448766
"Join(111)",1,24.694462427
"Join(98)",3,25.261616843
"Join(118)",1,26.702496083
"Claim(74)",0,42.495188072
"Join(131)",3,24.60347744
"Claim(69)",2,47.082443413
"Join(84)",1,29.269283874
"Join(127)",0,28.592537942
"Join(141)",1,23.40475729
"Join(112)",0,22.037235587
"Claim(70)",3,52.776360643
"Claim(73)",2,50.342989704
"Join(102)",1,20.753580736
"Join(119)",0,21.738909233
"Join(133)",3,23.623407166
"Join(128)",3,23.229109802
"Claim(75)",2,51.06453733
"Claim(76)",1,57.438282061
"Claim(77)",0,62.796363301
"Join(144)",3,24.558848771
"Join(136)",2,26.257700512
"Join(120)",1,18.685550807
"Join(103)",0,18.318594168
"Join(145)",2,17.946959281
"Join(137)",0,18.86532813
"Join(148)",3,25.03825689
"Join(121)",1,20.001036563
"Join(138)",0,17.622582682
"Join(150)",1,22.030128694
"Join(151)",3,17.189321413
"Join(152)",2,20.32521
"Join(153)",2,23.829856241
"Root",0,29.972146915
"Root",0,9.288171457
"Root",0,4.386853482
"Root",0,2.683087333
