work,worker,proof_s
"Claim(0)",0,38.26920638
"Claim(3)",2,44.832407024
"Claim(1)",1,45.347365149
"Claim(11)",3,45.981599369
"Claim(5)",0,46.261968631
"Claim(2)",2,56.667044899
"Claim(10)",1,50.841798065
"Claim(4)",3,54.779340479
"Claim(6)",0,50.896515222
"Join(2)",1,27.924122225
"Claim(8)",2,56.282163822
"Claim(7)",3,54.580570707
"Claim(9)",0,53.706663901
"Claim(14)",2,41.772980307
"Claim(12)",1,48.875597122
"Claim(16)",3,47.100249034
"Claim(15)",0,50.712033083
"Join(4)",1,27.992326945
"Claim(18)",2,47.431476169
"Join(7)",3,29.890813178
"Join(13)",1,31.32557074
"Join(18)",2,31.517311025
"Claim(13)",0,57.454246066
"Join(23)",2,29.112579738
"Claim(17)",3,56.848646008
"Join(28)",0,29.581550031
"Claim(21)",1,51.19580746
"Join(9)",1,26.800052581
"Claim(19)",2,56.263467118
"Claim(22)",3,60.903805471
"Join(15)",1,30.591766789
"Claim(20)",0,65.800619804
"Join(25)",3,26.623439384
"Join(31)",1,29.098636537
"Claim(23)",2,56.193755929
"Join(10)",1,23.682038687
"Join(36)",2,28.727766163
"Claim(24)",3,49.503397499
"Join(32)",2,25.209116005
"Join(19)",3,26.623268537
"Claim(30)",1,50.355959985
"Claim(29)",0,55.043211887
"Join(41)",3,30.788020529
"Claim(26)",2,64.511750044
"Claim(25)",1,67.652305462
"Claim(28)",0,64.668860673
"Join(38)",2,30.554049999
"Claim(27)",3,67.22343511
"Join(33)",1,24.03935119
"Join(20)",0,26.200258736
"Join(43)",2,29.706366886
"Join(58)",1,30.515823342
"Claim(31)",3,63.646278429
"Claim(33)",0,61.394711712
"Join(49)",1,31.926901201
"Claim(32)",2,65.746097631
"Join(54)",3,32.953229686
"Join(44)",0,23.317916515
"Claim(35)",1,53.310238168
"Join(60)",0,30.847656809
"Claim(34)",2,57.679848845
"Claim(36)",3,56.712999195
"Join(51)",1,28.752406551
"Join(63)",0,33.738533767
"Join(45)",2,26.958726479
"Claim(39)",3,68.298695646
"Claim(43)",2,48.595065419
"Claim(38)",1,72.136456644
"Join(68)",3,31.374494649
"Claim(40)",0,69.640843352
"Join(55)",2,25.932284047
"Join(64)",0,25.897700384
"Join(46)",2,33.223389751
"Claim(37)",1,78.182731351
"Claim(42)",3,68.103574426
"Join(70)",3,28.42111841
"Claim(48)",2,39.605637641
"Claim(41)",0,73.601095123
"Claim(44)",1,59.14732924
"Join(77)",3,32.508431583
"Join(65)",0,24.48035491
"Claim(45)",2,59.460702273
"Join(73)",3,33.432436835
"Claim(46)",1,55.761535236
"Join(80)",2,34.120565315
"Join(87)",3,30.652447917
"Claim(47)",0,65.799459552
"Join(74)",2,24.597558021
"Claim(50)",1,67.079898488
"Claim(52)",3,55.216794164
"Claim(51)",0,60.791640702
"Join(81)",3,24.812982007
"Claim(53)",1,59.084664102
"Join(89)",3,30.677231546
"Claim(56)",2,59.695483932
"Claim(55)",0,62.444084197
"Join(92)",3,34.542403652
"Claim(54)",1,65.191798487
"Join(101)",0,31.401909762
"Join(82)",3,24.929798951
"Claim(62)",0,46.541134636
"Claim(49)",2,91.610016468
"Claim(57)",1,65.20021778
"Join(109)",3,31.094590223
"Join(83)",3,28.719789471
"Claim(60)",2,61.078378063
"Claim(61)",0,67.033273641
"Join(93)",3,27.234604528
"Claim(59)",1,74.7817197
"Join(96)",0,31.04877293
"Join(106)",3,31.233518375
"Claim(63)",2,55.512860327
"Join(111)",1,29.581747316
"Claim(66)",3,50.556178314
"Claim(67)",2,48.807399822
"Claim(65)",1,61.173170997
"Claim(58)",0,86.671889534
"Join(84)",3,35.41744591
"Join(118)",2,34.276722183
"Join(98)",1,29.134636907
"Join(112)",0,25.782451929
"Join(124)",3,31.8578379
"Join(131)",0,29.058899885
"Claim(64)",2,56.82465519
"Claim(68)",1,55.032245406
"Join(102)",2,24.879663639
"Claim(69)",3,57.332454283
"Claim(71)",0,44.696708629
"Join(115)",1,33.642609267
"Claim(70)",2,54.751324679
"Claim(72)",3,48.578922245
"Claim(74)",0,49.605654681
"Join(133)",3,27.798499408
"Join(127)",2,31.039393947
"Join(103)",0,24.14524242
"Claim(75)",1,58.602371998
"Join(119)",3,25.97730553
"Join(141)",1,27.349497974
"Join(136)",3,30.263785767
"Claim(73)",2,58.534553163
"Claim(76)",0,60.634124082
"Join(128)",3,25.261896835
"Join(120)",2,21.921751764
"Claim(77)",1,66.520642429
"Join(137)",3,22.419431711
"Join(144)",0,26.315630094
"Join(148)",2,29.45732541
"Join(121)",0,24.386289003
"Join(138)",2,21.754033079
"Join(145)",3,20.757010485
"Join(150)",2,26.530526383
"Join(151)",1,20.449118044
"Join(152)",2,24.574410683
"Join(153)",2,28.842588784
"Root",1,36.563236631
"Root",1,10.993304111
"Root",1,5.195493228
"Root",1,3.101524556
