kind,id,worker,exec_s,bytes,pct_of_cap,cap_gib,proven_at_s
claim,6,2,86.8,17208100750,38,41.4,134
claim,0,0,89.4,18618628387,41,41.4,138
claim,4,0,95.2,19255520594,43,41.4,186
claim,1,1,102.3,20045473486,45,41.4,161
claim,11,3,103.1,19004949731,42,41.4,153
claim,2,2,105.1,19694242340,44,41.4,192
claim,3,3,110.5,20726304540,46,41.4,213
claim,10,2,117.1,21186214364,47,41.4,247
claim,5,1,119.1,21236407450,47,41.4,213
claim,8,0,122.3,22127270592,49,41.4,250
claim,7,3,124.9,20924237330,46,41.4,265
claim,9,1,131.5,22760729885,51,41.4,272
claim,15,1,130.3,17382975699,39,41.4,318
claim,16,3,148.1,19305156313,43,41.4,316
claim,12,2,167.8,22673522028,50,41.4,318
claim,13,0,169.8,22360285385,50,41.4,316
claim,18,3,149.4,20244946156,45,41.4,371
claim,20,1,141.1,19556851833,43,41.4,368
claim,14,0,165.8,22530566599,50,41.4,376
claim,17,2,157.4,21304047555,47,41.4,380
join,2,1,46.4,14298749710,32,41.4,402
claim,21,0,150.5,19686805581,44,41.4,427
claim,22,3,147.3,19755664243,44,41.4,417
join,5,3,48.0,14993022526,33,41.4,457
join,9,2,49.7,14712675865,33,41.4,418
claim,19,2,175.4,21129213714,47,41.4,473
join,20,0,49.3,14833188745,33,41.4,464
claim,23,1,165.3,22315221244,50,41.4,453
join,12,1,44.9,13996488264,31,41.4,486
join,17,0,51.8,16334793824,36,41.4,503
join,24,1,49.7,16046849135,36,41.4,528
claim,24,3,158.2,22265352781,49,41.4,513
claim,25,1,155.9,21174635479,47,41.4,582
claim,26,0,178.5,23349161646,52,41.4,568
join,31,1,41.3,13667625215,30,41.4,625
claim,27,2,190.0,24880262564,55,41.4,534
claim,30,2,169.6,22920329828,51,41.4,594
join,43,2,45.2,15140811073,33,41.4,631
claim,28,3,186.2,24937365594,55,41.4,579
join,6,2,38.4,12301263679,27,41.4,661
join,40,1,45.7,14457561336,32,41.4,656
claim,29,3,162.2,22026136514,49,41.4,627
claim,32,0,162.6,22447054718,50,41.4,624
claim,31,2,165.1,21950680286,49,41.4,717
join,36,3,45.8,14570785091,32,41.4,660
join,13,2,39.4,12082956182,27,41.4,746
claim,33,0,167.0,23194545832,52,41.4,685
claim,35,3,172.1,23510800607,52,41.4,722
join,26,1,46.5,15267147891,34,41.4,696
join,21,2,37.9,13253855898,29,41.4,779
join,50,0,43.5,15454553671,34,41.4,720
claim,36,0,190.2,24915270055,55,41.4,785
claim,34,1,202.5,26956927414,60,41.4,766
join,33,1,39.0,13683511567,30,41.4,798
join,53,3,51.5,16740429014,37,41.4,761
join,57,0,45.3,15101663811,33,41.4,829
claim,38,3,169.6,22899687764,51,41.4,818
claim,37,1,185.2,23594992536,52,41.4,855
claim,39,0,176.9,24484073962,54,41.4,898
claim,41,3,155.9,22448945117,50,41.4,889
join,45,2,43.1,14979631504,33,41.4,821
claim,40,2,159.7,22449933297,50,41.4,879
join,14,2,36.7,12110258204,27,41.4,910
join,60,3,45.4,15177461917,34,41.4,926
claim,44,1,157.4,21656251362,48,41.4,908
claim,42,2,159.5,22649809106,50,41.4,967
join,27,2,42.2,13545194348,30,41.4,1002
claim,46,3,170.2,22751302965,51,41.4,990
