log_height,width,added_bits,iteration,seconds
20,1,1,0,0.037613523
20,1,1,1,0.000753246
20,1,1,2,0.000699096
20,1,1,3,0.000654315
20,1,1,4,0.000654799
20,1,1,5,0.000655208
20,1,1,6,0.000630820
20,1,1,7,0.000641368
20,1,1,8,0.000643440
20,1,1,9,0.000628795
20,2,1,0,0.001315100
20,2,1,1,0.001226525
20,2,1,2,0.001170620
20,2,1,3,0.001118260
20,2,1,4,0.001083351
20,2,1,5,0.001052298
20,2,1,6,0.001077398
20,2,1,7,0.001069383
20,2,1,8,0.001070788
20,2,1,9,0.001041089
20,8,1,0,0.003736933
20,8,1,1,0.003417580
20,8,1,2,0.003256476
20,8,1,3,0.003196807
20,8,1,4,0.003070791
20,8,1,5,0.003026123
20,8,1,6,0.002967680
20,8,1,7,0.002933072
20,8,1,8,0.002979120
20,8,1,9,0.002960388
18,40,1,0,0.006212984
18,40,1,1,0.003629211
18,40,1,2,0.003635370
18,40,1,3,0.003596242
18,40,1,4,0.003570770
18,40,1,5,0.003577437
18,40,1,6,0.003589339
18,40,1,7,0.003591486
18,40,1,8,0.003578606
18,40,1,9,0.003585277
18,128,1,0,0.011764744
18,128,1,1,0.011713249
18,128,1,2,0.011726647
18,128,1,3,0.011652013
18,128,1,4,0.011632374
18,128,1,5,0.011683340
18,128,1,6,0.011630728
18,128,1,7,0.011662606
18,128,1,8,0.011700260
18,128,1,9,0.011713020
18,129,1,0,0.010916440
18,129,1,1,0.011747852
18,129,1,2,0.011740249
18,129,1,3,0.011732831
18,129,1,4,0.011722151
18,129,1,5,0.011707399
18,129,1,6,0.011663947
18,129,1,7,0.011631732
18,129,1,8,0.011629827
18,129,1,9,0.011674054
16,925,1,0,0.021708049
16,925,1,1,0.020952780
16,925,1,2,0.020840288
16,925,1,3,0.020995311
16,925,1,4,0.020748857
16,925,1,5,0.020697381
16,925,1,6,0.020899184
16,925,1,7,0.020900771
16,925,1,8,0.020800196
16,925,1,9,0.020658622
18,40,2,0,0.006790153
18,40,2,1,0.004912897
18,40,2,2,0.004930442
18,40,2,3,0.004934806
18,40,2,4,0.004919053
18,40,2,5,0.004936900
18,40,2,6,0.004895351
18,40,2,7,0.004920688
18,40,2,8,0.004892774
18,40,2,9,0.004907973
20,533,2,0,0.359766835
20,533,2,1,0.335814326
20,533,2,2,0.336016761
20,533,2,3,0.335302006
20,533,2,4,0.336055791
20,533,2,5,0.335553096
20,533,2,6,0.335245833
20,533,2,7,0.334905929
20,533,2,8,0.335552814
20,533,2,9,0.334587666
24,6,2,0,0.176985932
24,6,2,1,0.062619094
24,6,2,2,0.062124455
24,6,2,3,0.062390482
24,6,2,4,0.062098543
24,6,2,5,0.062243565
24,6,2,6,0.062066444
24,6,2,7,0.062178620
24,6,2,8,0.061865392
24,6,2,9,0.062042647
24,17,2,0,0.206577716
24,17,2,1,0.203140127
24,17,2,2,0.203959889
24,17,2,3,0.203374894
24,17,2,4,0.202894998
24,17,2,5,0.203381607
24,17,2,6,0.203744393
24,17,2,7,0.203433980
24,17,2,8,0.203797122
24,17,2,9,0.203556716
22,2,2,0,0.034456925
22,2,2,1,0.004303911
22,2,2,2,0.004178652
22,2,2,3,0.004081447
22,2,2,4,0.004004235
22,2,2,5,0.003993404
22,2,2,6,0.003997248
22,2,2,7,0.004004016
22,2,2,8,0.003998490
22,2,2,9,0.003989548
20,2,2,0,0.001307101
20,2,2,1,0.001238536
20,2,2,2,0.001255151
20,2,2,3,0.001215207
20,2,2,4,0.001213532
20,2,2,5,0.001214448
20,2,2,6,0.001201592
20,2,2,7,0.001196156
20,2,2,8,0.001188337
20,2,2,9,0.001181493
