log_height,width,added_bits,iteration,seconds
20,1,1,0,0.032280359
20,1,1,1,0.000756578
20,1,1,2,0.000707576
20,1,1,3,0.000714530
20,1,1,4,0.000714090
20,1,1,5,0.000707723
20,1,1,6,0.000697930
20,1,1,7,0.000720196
20,1,1,8,0.000680318
20,1,1,9,0.000677763
20,2,1,0,0.001258920
20,2,1,1,0.001150808
20,2,1,2,0.001166484
20,2,1,3,0.001160216
20,2,1,4,0.001140491
20,2,1,5,0.001169031
20,2,1,6,0.001122618
20,2,1,7,0.001157620
20,2,1,8,0.001119054
20,2,1,9,0.001117132
20,8,1,0,0.003313214
20,8,1,1,0.003096607
20,8,1,2,0.002980380
20,8,1,3,0.002943865
20,8,1,4,0.002941736
20,8,1,5,0.002969569
20,8,1,6,0.002886237
20,8,1,7,0.002892959
20,8,1,8,0.002862511
20,8,1,9,0.002865510
18,40,1,0,0.007687012
18,40,1,1,0.003938541
18,40,1,2,0.003912990
18,40,1,3,0.003833067
18,40,1,4,0.003819459
18,40,1,5,0.003819847
18,40,1,6,0.003867093
18,40,1,7,0.003889309
18,40,1,8,0.003876935
18,40,1,9,0.003830675
18,128,1,0,0.014787443
18,128,1,1,0.014364903
18,128,1,2,0.014164216
18,128,1,3,0.014111070
18,128,1,4,0.013891977
18,128,1,5,0.013930874
18,128,1,6,0.013841508
18,128,1,7,0.013772314
18,128,1,8,0.013823204
18,128,1,9,0.013811385
18,129,1,0,0.014152799
18,129,1,1,0.013896406
18,129,1,2,0.013862675
18,129,1,3,0.013827060
18,129,1,4,0.013854071
18,129,1,5,0.013825075
18,129,1,6,0.013909519
18,129,1,7,0.013913560
18,129,1,8,0.013921926
18,129,1,9,0.013919233
16,925,1,0,0.027060773
16,925,1,1,0.024787448
16,925,1,2,0.024549870
16,925,1,3,0.024661681
16,925,1,4,0.024362617
16,925,1,5,0.024409283
16,925,1,6,0.024504095
16,925,1,7,0.024425440
16,925,1,8,0.024404086
16,925,1,9,0.024445696
18,40,2,0,0.008340835
18,40,2,1,0.005765186
18,40,2,2,0.005638103
18,40,2,3,0.005640157
18,40,2,4,0.005561169
18,40,2,5,0.005561836
18,40,2,6,0.005619971
18,40,2,7,0.005547779
18,40,2,8,0.005522756
18,40,2,9,0.005562259
20,533,2,0,0.414333949
20,533,2,1,0.385923795
20,533,2,2,0.385055460
20,533,2,3,0.385349377
20,533,2,4,0.385446527
20,533,2,5,0.385053672
20,533,2,6,0.385025563
20,533,2,7,0.385341902
20,533,2,8,0.385210449
20,533,2,9,0.385695450
24,6,2,0,0.312466819
24,6,2,1,0.170187348
24,6,2,2,0.169809357
24,6,2,3,0.169927428
24,6,2,4,0.169570228
24,6,2,5,0.169562105
24,6,2,6,0.169383492
24,6,2,7,0.169441780
24,6,2,8,0.169125109
24,6,2,9,0.169224535
24,17,2,0,0.219411560
24,17,2,1,0.215343155
24,17,2,2,0.215174816
24,17,2,3,0.214769576
24,17,2,4,0.214826225
24,17,2,5,0.214920812
24,17,2,6,0.215185453
24,17,2,7,0.215170353
24,17,2,8,0.215041231
24,17,2,9,0.215138551
22,2,2,0,0.045582207
22,2,2,1,0.009887223
22,2,2,2,0.009822315
22,2,2,3,0.009711242
22,2,2,4,0.009654089
22,2,2,5,0.009598050
22,2,2,6,0.009541649
22,2,2,7,0.009559179
22,2,2,8,0.009479900
22,2,2,9,0.009477292
20,2,2,0,0.001491540
20,2,2,1,0.001425415
20,2,2,2,0.001422315
20,2,2,3,0.001409368
20,2,2,4,0.001417926
20,2,2,5,0.001406090
20,2,2,6,0.001408019
20,2,2,7,0.001394665
20,2,2,8,0.001398545
20,2,2,9,0.001418603
