log_height,width,added_bits,iteration,seconds
20,1,1,0,0.039523538
20,1,1,1,0.000730430
20,1,1,2,0.000716076
20,1,1,3,0.000677686
20,1,1,4,0.000643842
20,1,1,5,0.000646682
20,1,1,6,0.000648747
20,1,1,7,0.000630525
20,1,1,8,0.000643257
20,1,1,9,0.000626977
20,2,1,0,0.001331523
20,2,1,1,0.001188475
20,2,1,2,0.001113085
20,2,1,3,0.001122055
20,2,1,4,0.001089223
20,2,1,5,0.001092542
20,2,1,6,0.001049628
20,2,1,7,0.001055065
20,2,1,8,0.001095411
20,2,1,9,0.001080261
20,8,1,0,0.003883863
20,8,1,1,0.003559580
20,8,1,2,0.003455258
20,8,1,3,0.003319901
20,8,1,4,0.003207557
20,8,1,5,0.003166814
20,8,1,6,0.003157439
20,8,1,7,0.003141212
20,8,1,8,0.003104946
20,8,1,9,0.003094694
18,40,1,0,0.007647906
18,40,1,1,0.004575006
18,40,1,2,0.004554753
18,40,1,3,0.004651773
18,40,1,4,0.004553939
18,40,1,5,0.004559028
18,40,1,6,0.004650659
18,40,1,7,0.004586492
18,40,1,8,0.004590099
18,40,1,9,0.004706800
18,128,1,0,0.014891189
18,128,1,1,0.015020821
18,128,1,2,0.014812584
18,128,1,3,0.014738455
18,128,1,4,0.015477011
18,128,1,5,0.016210027
18,128,1,6,0.016284886
18,128,1,7,0.016187401
18,128,1,8,0.016260677
18,128,1,9,0.015842632
18,129,1,0,0.015693419
18,129,1,1,0.015619260
18,129,1,2,0.015039064
18,129,1,3,0.016244913
18,129,1,4,0.016349193
18,129,1,5,0.016339824
18,129,1,6,0.016272818
18,129,1,7,0.016179010
18,129,1,8,0.016456749
18,129,1,9,0.016459073
16,925,1,0,0.054001623
16,925,1,1,0.052360276
16,925,1,2,0.052381177
16,925,1,3,0.052101894
16,925,1,4,0.052705346
16,925,1,5,0.052236356
16,925,1,6,0.052299152
16,925,1,7,0.052357763
16,925,1,8,0.054263620
16,925,1,9,0.055285653
18,40,2,0,0.008113214
18,40,2,1,0.006061270
18,40,2,2,0.005986768
18,40,2,3,0.005948012
18,40,2,4,0.005916396
18,40,2,5,0.005987086
18,40,2,6,0.005947712
18,40,2,7,0.006010197
18,40,2,8,0.005788077
18,40,2,9,0.005853075
20,533,2,0,0.368076982
20,533,2,1,0.343505325
20,533,2,2,0.343361145
20,533,2,3,0.342782880
20,533,2,4,0.342545615
20,533,2,5,0.343259552
20,533,2,6,0.343340530
20,533,2,7,0.342885467
20,533,2,8,0.343158892
20,533,2,9,0.344300618
24,6,2,0,0.170478283
24,6,2,1,0.062226550
24,6,2,2,0.062157458
24,6,2,3,0.062250780
24,6,2,4,0.062038881
24,6,2,5,0.061920860
24,6,2,6,0.062102676
24,6,2,7,0.061836756
24,6,2,8,0.062147656
24,6,2,9,0.062028638
24,17,2,0,0.205297663
24,17,2,1,0.202820762
24,17,2,2,0.203136021
24,17,2,3,0.203238514
24,17,2,4,0.203219397
24,17,2,5,0.202427752
24,17,2,6,0.203266442
24,17,2,7,0.202936181
24,17,2,8,0.203079416
24,17,2,9,0.203072651
22,2,2,0,0.030904344
22,2,2,1,0.004259537
22,2,2,2,0.004048802
22,2,2,3,0.004004419
22,2,2,4,0.003992596
22,2,2,5,0.004010102
22,2,2,6,0.003993367
22,2,2,7,0.003988798
22,2,2,8,0.003986297
22,2,2,9,0.003984848
20,2,2,0,0.001342361
20,2,2,1,0.001337322
20,2,2,2,0.001244633
20,2,2,3,0.001241312
20,2,2,4,0.001208521
20,2,2,5,0.001202354
20,2,2,6,0.001238183
20,2,2,7,0.001196974
20,2,2,8,0.001219817
20,2,2,9,0.001191888
