log_height,width,added_bits,iteration,seconds
20,1,1,0,0.035297686
20,1,1,1,0.000774067
20,1,1,2,0.000709844
20,1,1,3,0.000710682
20,1,1,4,0.000695746
20,1,1,5,0.000663000
20,1,1,6,0.000675948
20,1,1,7,0.000676237
20,1,1,8,0.000672540
20,1,1,9,0.000669212
20,2,1,0,0.001164875
20,2,1,1,0.001084771
20,2,1,2,0.001047077
20,2,1,3,0.001042012
20,2,1,4,0.001041237
20,2,1,5,0.001045940
20,2,1,6,0.001031082
20,2,1,7,0.001027936
20,2,1,8,0.001020157
20,2,1,9,0.001038103
20,8,1,0,0.003467525
20,8,1,1,0.003169559
20,8,1,2,0.003120059
20,8,1,3,0.003014041
20,8,1,4,0.002969303
20,8,1,5,0.002911610
20,8,1,6,0.002938391
20,8,1,7,0.002895485
20,8,1,8,0.002907623
20,8,1,9,0.002913479
18,40,1,0,0.006929542
18,40,1,1,0.003770367
18,40,1,2,0.003769361
18,40,1,3,0.003736644
18,40,1,4,0.003761937
18,40,1,5,0.003753927
18,40,1,6,0.003755110
18,40,1,7,0.003746314
18,40,1,8,0.003733384
18,40,1,9,0.003720539
18,128,1,0,0.012359997
18,128,1,1,0.012247898
18,128,1,2,0.012159293
18,128,1,3,0.012203442
18,128,1,4,0.012175852
18,128,1,5,0.012145174
18,128,1,6,0.012207783
18,128,1,7,0.012151782
18,128,1,8,0.012211749
18,128,1,9,0.012184916
18,129,1,0,0.011667533
18,129,1,1,0.012505065
18,129,1,2,0.012393747
18,129,1,3,0.012376710
18,129,1,4,0.012348061
18,129,1,5,0.012428584
18,129,1,6,0.012410091
18,129,1,7,0.012388816
18,129,1,8,0.012357694
18,129,1,9,0.012386872
16,925,1,0,0.022325892
16,925,1,1,0.021392754
16,925,1,2,0.021420860
16,925,1,3,0.021407321
16,925,1,4,0.021427552
16,925,1,5,0.021270665
16,925,1,6,0.021265657
16,925,1,7,0.021438238
16,925,1,8,0.021348428
16,925,1,9,0.021365052
18,40,2,0,0.007261885
18,40,2,1,0.005307633
18,40,2,2,0.005248432
18,40,2,3,0.005170545
18,40,2,4,0.005275541
18,40,2,5,0.005309530
18,40,2,6,0.005257711
18,40,2,7,0.005212867
18,40,2,8,0.005253888
18,40,2,9,0.005250064
20,533,2,0,0.380357256
20,533,2,1,0.355734687
20,533,2,2,0.355747681
20,533,2,3,0.354908904
20,533,2,4,0.355990577
20,533,2,5,0.355528105
20,533,2,6,0.355340031
20,533,2,7,0.355327327
20,533,2,8,0.355247440
20,533,2,9,0.354949924
24,6,2,0,0.169075989
24,6,2,1,0.063471841
24,6,2,2,0.063558217
24,6,2,3,0.062659182
24,6,2,4,0.063209926
24,6,2,5,0.062967488
24,6,2,6,0.063132089
24,6,2,7,0.062993746
24,6,2,8,0.062889113
24,6,2,9,0.062791490
24,17,2,0,0.207922415
24,17,2,1,0.205868266
24,17,2,2,0.206267582
24,17,2,3,0.205792120
24,17,2,4,0.205428098
24,17,2,5,0.205673500
24,17,2,6,0.205779758
24,17,2,7,0.206279154
24,17,2,8,0.206003163
24,17,2,9,0.205831248
22,2,2,0,0.034705213
22,2,2,1,0.004519009
22,2,2,2,0.004302842
22,2,2,3,0.004261723
22,2,2,4,0.004305784
22,2,2,5,0.004287951
22,2,2,6,0.004256434
22,2,2,7,0.004275463
22,2,2,8,0.004268050
22,2,2,9,0.004273641
20,2,2,0,0.001312539
20,2,2,1,0.001227956
20,2,2,2,0.001216461
20,2,2,3,0.001213692
20,2,2,4,0.001215041
20,2,2,5,0.001188563
20,2,2,6,0.001165925
20,2,2,7,0.001194573
20,2,2,8,0.001175870
20,2,2,9,0.001208229
