log_height,width,added_bits,iteration,seconds
20,1,1,0,0.035744552
20,1,1,1,0.000844766
20,1,1,2,0.000770346
20,1,1,3,0.000762509
20,1,1,4,0.000733253
20,1,1,5,0.000712651
20,1,1,6,0.000713237
20,1,1,7,0.000715420
20,1,1,8,0.000713398
20,1,1,9,0.000678315
20,2,1,0,0.001358592
20,2,1,1,0.001219160
20,2,1,2,0.001184625
20,2,1,3,0.001167580
20,2,1,4,0.001142014
20,2,1,5,0.001156319
20,2,1,6,0.001142641
20,2,1,7,0.001119646
20,2,1,8,0.001096970
20,2,1,9,0.001116928
20,8,1,0,0.003625535
20,8,1,1,0.003277455
20,8,1,2,0.003165891
20,8,1,3,0.003161289
20,8,1,4,0.003125670
20,8,1,5,0.003185617
20,8,1,6,0.003132328
20,8,1,7,0.003145910
20,8,1,8,0.003118448
20,8,1,9,0.003139696
18,40,1,0,0.006267455
18,40,1,1,0.003618124
18,40,1,2,0.003632215
18,40,1,3,0.003633712
18,40,1,4,0.003601048
18,40,1,5,0.003632920
18,40,1,6,0.003638368
18,40,1,7,0.003589107
18,40,1,8,0.003633055
18,40,1,9,0.003589374
18,128,1,0,0.011507648
18,128,1,1,0.011294764
18,128,1,2,0.011357086
18,128,1,3,0.011250736
18,128,1,4,0.011366294
18,128,1,5,0.011353306
18,128,1,6,0.011319883
18,128,1,7,0.011330434
18,128,1,8,0.011345012
18,128,1,9,0.011262668
18,129,1,0,0.011620283
18,129,1,1,0.012308951
18,129,1,2,0.012267637
18,129,1,3,0.012228625
18,129,1,4,0.012318911
18,129,1,5,0.012252076
18,129,1,6,0.012349246
18,129,1,7,0.012282763
18,129,1,8,0.012278631
18,129,1,9,0.012303641
16,925,1,0,0.021628543
16,925,1,1,0.020866246
16,925,1,2,0.020835622
16,925,1,3,0.020716727
16,925,1,4,0.020682065
16,925,1,5,0.020756839
16,925,1,6,0.020743645
16,925,1,7,0.020663795
16,925,1,8,0.020712474
16,925,1,9,0.020807958
18,40,2,0,0.006825373
18,40,2,1,0.005011201
18,40,2,2,0.005025458
18,40,2,3,0.005014660
18,40,2,4,0.005019241
18,40,2,5,0.005021183
18,40,2,6,0.005023413
18,40,2,7,0.005031398
18,40,2,8,0.005012694
18,40,2,9,0.005012323
20,533,2,0,0.316304370
20,533,2,1,0.289278659
20,533,2,2,0.288983128
20,533,2,3,0.289139315
20,533,2,4,0.288980653
20,533,2,5,0.289190854
20,533,2,6,0.288442037
20,533,2,7,0.288143307
20,533,2,8,0.289222951
20,533,2,9,0.289056618
24,6,2,0,0.188670149
24,6,2,1,0.073164256
24,6,2,2,0.072845071
24,6,2,3,0.073157091
24,6,2,4,0.072880003
24,6,2,5,0.072629065
24,6,2,6,0.072597928
24,6,2,7,0.073091857
24,6,2,8,0.072652552
24,6,2,9,0.072364890
24,17,2,0,0.241527734
24,17,2,1,0.238213640
24,17,2,2,0.237857159
24,17,2,3,0.237649767
24,17,2,4,0.238154684
24,17,2,5,0.237700474
24,17,2,6,0.237123047
24,17,2,7,0.237867165
24,17,2,8,0.238217751
24,17,2,9,0.238104481
22,2,2,0,0.039906994
22,2,2,1,0.008857277
22,2,2,2,0.008694156
22,2,2,3,0.008610510
22,2,2,4,0.008691092
22,2,2,5,0.008671271
22,2,2,6,0.008657115
22,2,2,7,0.008652832
22,2,2,8,0.008650927
22,2,2,9,0.008643268
20,2,2,0,0.001832245
20,2,2,1,0.001698484
20,2,2,2,0.001695724
20,2,2,3,0.001690000
20,2,2,4,0.001678954
20,2,2,5,0.001689416
20,2,2,6,0.001676363
20,2,2,7,0.001679184
20,2,2,8,0.001667417
20,2,2,9,0.001652341
8,20,2,0,0.000144840
8,20,2,1,0.000071178
8,20,2,2,0.000079095
8,20,2,3,0.000071002
8,20,2,4,0.000066107
8,20,2,5,0.000067954
8,20,2,6,0.000064179
8,20,2,7,0.000066495
8,20,2,8,0.000073509
8,20,2,9,0.000068299
10,33,2,0,0.000156457
10,33,2,1,0.000080717
10,33,2,2,0.000069639
10,33,2,3,0.000074033
10,33,2,4,0.000082045
10,33,2,5,0.000077807
