log_height,width,added_bits,iteration,seconds
20,1,1,0,0.038502970
20,1,1,1,0.000844095
20,1,1,2,0.000802183
20,1,1,3,0.000771675
20,1,1,4,0.000747436
20,1,1,5,0.000763268
20,1,1,6,0.000747103
20,1,1,7,0.000738102
20,1,1,8,0.000728828
20,1,1,9,0.000736155
20,2,1,0,0.001335435
20,2,1,1,0.001228186
20,2,1,2,0.001185049
20,2,1,3,0.001147265
20,2,1,4,0.001147674
20,2,1,5,0.001145838
20,2,1,6,0.001142301
20,2,1,7,0.001156601
20,2,1,8,0.001144529
20,2,1,9,0.001125655
20,8,1,0,0.003709269
20,8,1,1,0.003408457
20,8,1,2,0.003312693
20,8,1,3,0.003181216
20,8,1,4,0.003157044
20,8,1,5,0.003096499
20,8,1,6,0.003037995
20,8,1,7,0.002967701
20,8,1,8,0.002971449
20,8,1,9,0.002960485
18,40,1,0,0.006374790
18,40,1,1,0.003636610
18,40,1,2,0.003624156
18,40,1,3,0.003621844
18,40,1,4,0.003648634
18,40,1,5,0.003681663
18,40,1,6,0.003638433
18,40,1,7,0.003641629
18,40,1,8,0.003644782
18,40,1,9,0.003633352
18,128,1,0,0.011695012
18,128,1,1,0.011334851
18,128,1,2,0.011434708
18,128,1,3,0.011377062
18,128,1,4,0.011346506
18,128,1,5,0.011393669
18,128,1,6,0.011414738
18,128,1,7,0.011424449
18,128,1,8,0.011445226
18,128,1,9,0.011434995
18,129,1,0,0.011675658
18,129,1,1,0.012270060
18,129,1,2,0.012348817
18,129,1,3,0.012319627
18,129,1,4,0.012276533
18,129,1,5,0.012317278
18,129,1,6,0.012347607
18,129,1,7,0.012301929
18,129,1,8,0.012241760
18,129,1,9,0.012207755
16,925,1,0,0.021578200
16,925,1,1,0.020966684
16,925,1,2,0.020912334
16,925,1,3,0.020835425
16,925,1,4,0.020786739
16,925,1,5,0.020685314
16,925,1,6,0.020817029
16,925,1,7,0.020768741
16,925,1,8,0.020681871
16,925,1,9,0.020677513
18,40,2,0,0.006605834
18,40,2,1,0.004915389
18,40,2,2,0.004988662
18,40,2,3,0.004958584
18,40,2,4,0.004970676
18,40,2,5,0.004936086
18,40,2,6,0.004905310
18,40,2,7,0.004914042
18,40,2,8,0.004891131
18,40,2,9,0.004920900
20,533,2,0,0.310861010
20,533,2,1,0.284675216
20,533,2,2,0.284185534
20,533,2,3,0.283735478
20,533,2,4,0.283683151
20,533,2,5,0.283635637
20,533,2,6,0.283798920
20,533,2,7,0.284032379
20,533,2,8,0.283806321
20,533,2,9,0.283075397
24,6,2,0,0.175451582
24,6,2,1,0.062329702
24,6,2,2,0.062470103
24,6,2,3,0.062463534
24,6,2,4,0.061837889
24,6,2,5,0.061784319
24,6,2,6,0.062005137
24,6,2,7,0.061941374
24,6,2,8,0.061942401
24,6,2,9,0.061857155
24,17,2,0,0.203105443
24,17,2,1,0.201396263
24,17,2,2,0.201492064
24,17,2,3,0.201123025
24,17,2,4,0.201872684
24,17,2,5,0.201578408
24,17,2,6,0.201968864
24,17,2,7,0.201715605
24,17,2,8,0.201703022
24,17,2,9,0.201278737
22,2,2,0,0.035927858
22,2,2,1,0.004878175
22,2,2,2,0.004763670
22,2,2,3,0.004709043
22,2,2,4,0.004714650
22,2,2,5,0.004675534
22,2,2,6,0.004686303
22,2,2,7,0.004707875
22,2,2,8,0.004664970
22,2,2,9,0.004693869
20,2,2,0,0.001449280
20,2,2,1,0.001353128
20,2,2,2,0.001315492
20,2,2,3,0.001325871
20,2,2,4,0.001320050
20,2,2,5,0.001292522
20,2,2,6,0.001327290
20,2,2,7,0.001285852
20,2,2,8,0.001286594
20,2,2,9,0.001316972
8,20,2,0,0.000130946
8,20,2,1,0.000070751
8,20,2,2,0.000064832
8,20,2,3,0.000063953
8,20,2,4,0.000062509
8,20,2,5,0.000061062
8,20,2,6,0.000075526
8,20,2,7,0.000065230
8,20,2,8,0.000060815
8,20,2,9,0.000061256
10,33,2,0,0.000148289
10,33,2,1,0.000080995
10,33,2,2,0.000071037
10,33,2,3,0.000076715
10,33,2,4,0.000072480
10,33,2,5,0.000071378
10,33,2,6,0.000072004
10,33,2,7,0.000073527
10,33,2,8,0.000068335
10,33,2,9,0.000076824
12,8,2,0,0.000175766
12,8,2,1,0.000076536
12,8,2,2,0.000097656
12,8,2,3,0.000096320
12,8,2,4,0.000077475
12,8,2,5,0.000076200
12,8,2,6,0.000072613
12,8,2,7,0.000075806
12,8,2,8,0.000073308
12,8,2,9,0.000074923
14,40,2,0,0.000791085
14,40,2,1,0.000544866
14,40,2,2,0.000508030
14,40,2,3,0.000525923
14,40,2,4,0.000505479
14,40,2,5,0.000529570
14,40,2,6,0.000498709
14,40,2,7,0.000540101
14,40,2,8,0.000526066
14,40,2,9,0.000528648
15,129,2,0,0.002206959
15,129,2,1,0.002054225
15,129,2,2,0.002047089
15,129,2,3,0.002045098
15,129,2,4,0.002009063
15,129,2,5,0.002016195
15,129,2,6,0.002024111
15,129,2,7,0.002015879
15,129,2,8,0.002018769
15,129,2,9,0.002015443
16,2,2,0,0.000566350
16,2,2,1,0.000230970
16,2,2,2,0.000211243
16,2,2,3,0.000237677
16,2,2,4,0.000211204
16,2,2,5,0.000203847
16,2,2,6,0.000201340
16,2,2,7,0.000215787
16,2,2,8,0.000216052
16,2,2,9,0.000197450
17,16,2,0,0.001461510
17,16,2,1,0.001121587
17,16,2,2,0.001210513
17,16,2,3,0.001114408
17,16,2,4,0.001100535
17,16,2,5,0.001118562
17,16,2,6,0.001126753
17,16,2,7,0.001116928
17,16,2,8,0.001110424
17,16,2,9,0.001122170
18,2,2,0,0.000538634
18,2,2,1,0.000484828
18,2,2,2,0.000474592
18,2,2,3,0.000496709
18,2,2,4,0.000476645
18,2,2,5,0.000467551
18,2,2,6,0.000490785
18,2,2,7,0.000488759
18,2,2,8,0.000493512
18,2,2,9,0.000467650
19,2,2,0,0.002009456
19,2,2,1,0.000783839
19,2,2,2,0.000744799
19,2,2,3,0.000770104
19,2,2,4,0.000763248
19,2,2,5,0.000729581
19,2,2,6,0.000748154
19,2,2,7,0.000759125
19,2,2,8,0.000745454
19,2,2,9,0.000742806
19,49,2,0,0.012757968
19,49,2,1,0.013851441
19,49,2,2,0.013736875
19,49,2,3,0.013703630
19,49,2,4,0.013717428
19,49,2,5,0.013763582
19,49,2,6,0.013680932
19,49,2,7,0.013753035
19,49,2,8,0.013663009
19,49,2,9,0.013739305
