log_height,width,added_bits,iteration,seconds
20,1,1,0,0.036008948
20,1,1,1,0.000725978
20,1,1,2,0.000676609
20,1,1,3,0.000681785
20,1,1,4,0.000646852
20,1,1,5,0.000645729
20,1,1,6,0.000677620
20,1,1,7,0.000640993
20,1,1,8,0.000633465
20,1,1,9,0.000613966
20,2,1,0,0.001176747
20,2,1,1,0.001088374
20,2,1,2,0.001072425
20,2,1,3,0.001035389
20,2,1,4,0.001047943
20,2,1,5,0.001043901
20,2,1,6,0.001036868
20,2,1,7,0.001035557
20,2,1,8,0.001014268
20,2,1,9,0.001007180
20,8,1,0,0.003531860
20,8,1,1,0.003176913
20,8,1,2,0.003081972
20,8,1,3,0.003008043
20,8,1,4,0.002973693
20,8,1,5,0.002942863
20,8,1,6,0.002950513
20,8,1,7,0.002945012
20,8,1,8,0.002913284
20,8,1,9,0.002887375
18,40,1,0,0.006364217
18,40,1,1,0.003585934
18,40,1,2,0.003588255
18,40,1,3,0.003554837
18,40,1,4,0.003639203
18,40,1,5,0.003605834
18,40,1,6,0.003603877
18,40,1,7,0.003609171
18,40,1,8,0.003558479
18,40,1,9,0.003546054
18,128,1,0,0.011502917
18,128,1,1,0.011697164
18,128,1,2,0.011631365
18,128,1,3,0.011618519
18,128,1,4,0.011736644
18,128,1,5,0.011560380
18,128,1,6,0.011665100
18,128,1,7,0.011703988
18,128,1,8,0.011617552
18,128,1,9,0.011653804
18,129,1,0,0.011000822
18,129,1,1,0.011819712
18,129,1,2,0.011654212
18,129,1,3,0.011671885
18,129,1,4,0.011676230
18,129,1,5,0.011672017
18,129,1,6,0.011679487
18,129,1,7,0.011699702
18,129,1,8,0.011734571
18,129,1,9,0.011719031
16,925,1,0,0.021778964
16,925,1,1,0.020642229
16,925,1,2,0.020953156
16,925,1,3,0.020893847
16,925,1,4,0.020798243
16,925,1,5,0.020783733
16,925,1,6,0.020487043
16,925,1,7,0.020957865
16,925,1,8,0.020809152
16,925,1,9,0.020735985
18,40,2,0,0.006995012
18,40,2,1,0.004942017
18,40,2,2,0.004901699
18,40,2,3,0.004878000
18,40,2,4,0.004982284
18,40,2,5,0.004913515
18,40,2,6,0.004902438
18,40,2,7,0.004890899
18,40,2,8,0.004880501
18,40,2,9,0.004887653
20,533,2,0,0.358695023
20,533,2,1,0.336016076
20,533,2,2,0.336096726
20,533,2,3,0.335806114
20,533,2,4,0.335554091
20,533,2,5,0.335763329
20,533,2,6,0.335650215
20,533,2,7,0.336047421
20,533,2,8,0.334890269
20,533,2,9,0.334439114
24,6,2,0,0.169455962
24,6,2,1,0.062431850
24,6,2,2,0.062326209
24,6,2,3,0.062357917
24,6,2,4,0.062271554
24,6,2,5,0.062169574
24,6,2,6,0.062013937
24,6,2,7,0.062399008
24,6,2,8,0.061930042
24,6,2,9,0.061956452
24,17,2,0,0.205178374
24,17,2,1,0.203538961
24,17,2,2,0.203619341
24,17,2,3,0.203894522
24,17,2,4,0.203532532
24,17,2,5,0.203049091
24,17,2,6,0.203774185
24,17,2,7,0.203166513
24,17,2,8,0.203057145
24,17,2,9,0.203356432
22,2,2,0,0.033994282
22,2,2,1,0.004180610
22,2,2,2,0.004022738
22,2,2,3,0.003999347
22,2,2,4,0.003996636
22,2,2,5,0.003970705
22,2,2,6,0.004007057
22,2,2,7,0.003999791
22,2,2,8,0.003986933
22,2,2,9,0.004000958
20,2,2,0,0.001299163
20,2,2,1,0.001180278
20,2,2,2,0.001177499
20,2,2,3,0.001157603
20,2,2,4,0.001157274
20,2,2,5,0.001200525
20,2,2,6,0.001159098
20,2,2,7,0.001194615
20,2,2,8,0.001150640
20,2,2,9,0.001154471
8,20,2,0,0.000124637
8,20,2,1,0.000057597
8,20,2,2,0.000054500
8,20,2,3,0.000071855
8,20,2,4,0.000052486
8,20,2,5,0.000051281
8,20,2,6,0.000052280
8,20,2,7,0.000090173
8,20,2,8,0.000115501
8,20,2,9,0.000121221
10,33,2,0,0.000220956
10,33,2,1,0.000076622
10,33,2,2,0.000072952
10,33,2,3,0.000086696
10,33,2,4,0.000068123
10,33,2,5,0.000125568
10,33,2,6,0.000072042
10,33,2,7,0.000069361
10,33,2,8,0.000095571
10,33,2,9,0.000068172
12,8,2,0,0.000388512
12,8,2,1,0.000107452
12,8,2,2,0.000088019
12,8,2,3,0.000093621
12,8,2,4,0.000091517
12,8,2,5,0.000088473
12,8,2,6,0.000111210
12,8,2,7,0.000085066
12,8,2,8,0.000087279
12,8,2,9,0.000092403
14,40,2,0,0.000920695
14,40,2,1,0.000575801
14,40,2,2,0.000569748
14,40,2,3,0.000520364
14,40,2,4,0.000552646
14,40,2,5,0.000511250
14,40,2,6,0.000532924
14,40,2,7,0.000500860
14,40,2,8,0.000524530
14,40,2,9,0.000525040
15,129,2,0,0.002372998
15,129,2,1,0.002078490
15,129,2,2,0.002021561
15,129,2,3,0.001994958
15,129,2,4,0.001983822
15,129,2,5,0.001966562
15,129,2,6,0.001938613
15,129,2,7,0.001963641
15,129,2,8,0.001933792
15,129,2,9,0.001945358
16,2,2,0,0.000633952
16,2,2,1,0.000375421
16,2,2,2,0.000287426
16,2,2,3,0.000242133
16,2,2,4,0.000207973
16,2,2,5,0.000192415
16,2,2,6,0.000216150
16,2,2,7,0.000201813
16,2,2,8,0.000220157
16,2,2,9,0.000192576
17,16,2,0,0.001669747
17,16,2,1,0.001177830
17,16,2,2,0.001298582
17,16,2,3,0.001162871
17,16,2,4,0.001155568
17,16,2,5,0.001146076
17,16,2,6,0.001116054
17,16,2,7,0.001155902
17,16,2,8,0.001134467
17,16,2,9,0.001140339
18,2,2,0,0.000537273
18,2,2,1,0.000466438
18,2,2,2,0.000497297
18,2,2,3,0.000457392
18,2,2,4,0.000482562
18,2,2,5,0.000456208
18,2,2,6,0.000483088
18,2,2,7,0.000466465
18,2,2,8,0.000480402
18,2,2,9,0.000452906
19,2,2,0,0.002182385
19,2,2,1,0.000734914
19,2,2,2,0.000734750
19,2,2,3,0.000707557
19,2,2,4,0.000692892
19,2,2,5,0.000692335
19,2,2,6,0.000719519
19,2,2,7,0.000734118
19,2,2,8,0.000691718
19,2,2,9,0.000707093
19,49,2,0,0.011685930
19,49,2,1,0.012280748
19,49,2,2,0.012187820
19,49,2,3,0.012361080
19,49,2,4,0.012234807
19,49,2,5,0.012197870
19,49,2,6,0.012353184
19,49,2,7,0.012224376
19,49,2,8,0.012219237
19,49,2,9,0.012263470
