log_height,width,added_bits,iteration,seconds
20,1,1,0,0.031741882
20,1,1,1,0.000745961
20,1,1,2,0.000717143
20,1,1,3,0.000707828
20,1,1,4,0.000694375
20,1,1,5,0.000707362
20,1,1,6,0.000708567
20,1,1,7,0.000680473
20,1,1,8,0.000680990
20,1,1,9,0.000700571
20,2,1,0,0.001278188
20,2,1,1,0.001117370
20,2,1,2,0.001122454
20,2,1,3,0.001100254
20,2,1,4,0.001127123
20,2,1,5,0.001109660
20,2,1,6,0.001097345
20,2,1,7,0.001112882
20,2,1,8,0.001142453
20,2,1,9,0.001110359
20,8,1,0,0.003369746
20,8,1,1,0.003090425
20,8,1,2,0.003015563
20,8,1,3,0.002971833
20,8,1,4,0.002923697
20,8,1,5,0.002867317
20,8,1,6,0.002892850
20,8,1,7,0.002906263
20,8,1,8,0.002874539
20,8,1,9,0.002877779
18,40,1,0,0.007433849
18,40,1,1,0.003912114
18,40,1,2,0.003890229
18,40,1,3,0.003881072
18,40,1,4,0.003892120
18,40,1,5,0.003863511
18,40,1,6,0.003840025
18,40,1,7,0.003850929
18,40,1,8,0.003861507
18,40,1,9,0.003849522
18,128,1,0,0.014677988
18,128,1,1,0.014209262
18,128,1,2,0.013949681
18,128,1,3,0.014004969
18,128,1,4,0.013982313
18,128,1,5,0.013907746
18,128,1,6,0.013870208
18,128,1,7,0.013962280
18,128,1,8,0.013834965
18,128,1,9,0.013829552
18,129,1,0,0.014122573
18,129,1,1,0.014008937
18,129,1,2,0.013985625
18,129,1,3,0.013911499
18,129,1,4,0.014004496
18,129,1,5,0.013878003
18,129,1,6,0.013921128
18,129,1,7,0.013871525
18,129,1,8,0.013873756
18,129,1,9,0.013865983
16,925,1,0,0.026853463
16,925,1,1,0.024801429
16,925,1,2,0.024604025
16,925,1,3,0.024573667
16,925,1,4,0.024581527
16,925,1,5,0.024581170
16,925,1,6,0.024487315
16,925,1,7,0.024598971
16,925,1,8,0.024586691
16,925,1,9,0.024558724
18,40,2,0,0.008008428
18,40,2,1,0.005683839
18,40,2,2,0.005630175
18,40,2,3,0.005594676
18,40,2,4,0.005555531
18,40,2,5,0.005562709
18,40,2,6,0.005540717
