log_height,width,added_bits,iteration,seconds
20,1,1,0,0.037922262
20,1,1,1,0.000827806
20,1,1,2,0.000757131
20,1,1,3,0.000723755
20,1,1,4,0.000696480
20,1,1,5,0.000714188
20,1,1,6,0.000690657
20,1,1,7,0.000668729
20,1,1,8,0.000667157
20,1,1,9,0.000652630
20,2,1,0,0.001287711
20,2,1,1,0.001201670
20,2,1,2,0.001154607
20,2,1,3,0.001132056
20,2,1,4,0.001097820
20,2,1,5,0.001075955
20,2,1,6,0.001100437
20,2,1,7,0.001078444
20,2,1,8,0.001104788
20,2,1,9,0.001093294
20,8,1,0,0.003800364
20,8,1,1,0.003369949
20,8,1,2,0.003293256
20,8,1,3,0.003143283
20,8,1,4,0.003079290
20,8,1,5,0.003047708
20,8,1,6,0.003019601
20,8,1,7,0.002964704
20,8,1,8,0.002956446
20,8,1,9,0.002978270
18,40,1,0,0.006218874
18,40,1,1,0.003619675
18,40,1,2,0.003622529
18,40,1,3,0.003634997
18,40,1,4,0.003628963
18,40,1,5,0.003638719
18,40,1,6,0.003636677
18,40,1,7,0.003662584
18,40,1,8,0.003621168
18,40,1,9,0.003630802
18,128,1,0,0.011583080
18,128,1,1,0.011421090
18,128,1,2,0.011437335
18,128,1,3,0.011468738
18,128,1,4,0.011361529
18,128,1,5,0.011380928
18,128,1,6,0.011402379
18,128,1,7,0.011352980
18,128,1,8,0.011394645
18,128,1,9,0.011340340
18,129,1,0,0.011736651
18,129,1,1,0.012282800
18,129,1,2,0.012360627
18,129,1,3,0.012352350
18,129,1,4,0.012230306
18,129,1,5,0.012408790
18,129,1,6,0.012324541
18,129,1,7,0.012347552
18,129,1,8,0.012322266
18,129,1,9,0.012272975
16,925,1,0,0.021579793
16,925,1,1,0.020857022
16,925,1,2,0.020807217
16,925,1,3,0.020723293
16,925,1,4,0.020676517
16,925,1,5,0.020604096
16,925,1,6,0.020820787
16,925,1,7,0.020749332
16,925,1,8,0.020572455
16,925,1,9,0.020798584
18,40,2,0,0.006815361
18,40,2,1,0.004954781
18,40,2,2,0.004945519
18,40,2,3,0.004911182
18,40,2,4,0.004920896
18,40,2,5,0.004921617
18,40,2,6,0.004902479
18,40,2,7,0.004917398
18,40,2,8,0.004911029
18,40,2,9,0.004924675
20,533,2,0,0.312313164
20,533,2,1,0.284112706
20,533,2,2,0.284599022
20,533,2,3,0.284154690
20,533,2,4,0.283991311
20,533,2,5,0.284095604
20,533,2,6,0.283904657
20,533,2,7,0.283697827
20,533,2,8,0.284096595
20,533,2,9,0.284112703
24,6,2,0,0.178477807
24,6,2,1,0.063390623
24,6,2,2,0.062503338
24,6,2,3,0.062628364
24,6,2,4,0.062874161
24,6,2,5,0.062102220
24,6,2,6,0.062410099
24,6,2,7,0.062463187
24,6,2,8,0.062162226
24,6,2,9,0.062676341
24,17,2,0,0.203554668
24,17,2,1,0.201221802
24,17,2,2,0.201320193
24,17,2,3,0.200828975
24,17,2,4,0.200922342
24,17,2,5,0.201339482
24,17,2,6,0.200993137
24,17,2,7,0.201086179
24,17,2,8,0.201530504
24,17,2,9,0.200673088
22,2,2,0,0.035681251
22,2,2,1,0.004474456
22,2,2,2,0.004350354
22,2,2,3,0.004303057
22,2,2,4,0.004277122
22,2,2,5,0.004253240
22,2,2,6,0.004265994
22,2,2,7,0.004276897
22,2,2,8,0.004218759
22,2,2,9,0.004271257
20,2,2,0,0.001304435
20,2,2,1,0.001264576
20,2,2,2,0.001197657
20,2,2,3,0.001207172
20,2,2,4,0.001185920
20,2,2,5,0.001176003
20,2,2,6,0.001202396
20,2,2,7,0.001187313
20,2,2,8,0.001168540
20,2,2,9,0.001175844
8,20,2,0,0.000130866
8,20,2,1,0.000068743
8,20,2,2,0.000061220
8,20,2,3,0.000063252
8,20,2,4,0.000063502
8,20,2,5,0.000079863
8,20,2,6,0.000061895
8,20,2,7,0.000061652
8,20,2,8,0.000065413
8,20,2,9,0.000061939
10,33,2,0,0.000161458
10,33,2,1,0.000073342
10,33,2,2,0.000074613
10,33,2,3,0.000070630
10,33,2,4,0.000073804
10,33,2,5,0.000072607
10,33,2,6,0.000072757
10,33,2,7,0.000087365
10,33,2,8,0.000069012
10,33,2,9,0.000075328
12,8,2,0,0.000178353
12,8,2,1,0.000076369
12,8,2,2,0.000077972
12,8,2,3,0.000095829
12,8,2,4,0.000075822
12,8,2,5,0.000075605
12,8,2,6,0.000074240
12,8,2,7,0.000074190
12,8,2,8,0.000090464
12,8,2,9,0.000075184
14,40,2,0,0.000785335
14,40,2,1,0.000517152
14,40,2,2,0.000528737
14,40,2,3,0.000503894
14,40,2,4,0.000526114
14,40,2,5,0.000495894
14,40,2,6,0.000519901
14,40,2,7,0.000515050
14,40,2,8,0.000523200
14,40,2,9,0.000490772
15,129,2,0,0.002184443
15,129,2,1,0.002057315
15,129,2,2,0.002028552
15,129,2,3,0.002058916
15,129,2,4,0.002003674
15,129,2,5,0.002012915
