log_height,width,added_bits,iteration,seconds
20,1,1,0,0.034951572
20,1,1,1,0.000748417
20,1,1,2,0.000704064
20,1,1,3,0.000691861
20,1,1,4,0.000704656
20,1,1,5,0.000687175
20,2,1,0,0.001405903
20,2,1,1,0.001246465
20,2,1,2,0.001205422
20,2,1,3,0.001187971
20,2,1,4,0.001196108
20,2,1,5,0.001181186
20,8,1,0,0.003773325
20,8,1,1,0.003379813
20,8,1,2,0.003268615
20,8,1,3,0.003153550
20,8,1,4,0.003056787
20,8,1,5,0.003032750
18,40,1,0,0.007827488
18,40,1,1,0.003940667
18,40,1,2,0.003897425
18,40,1,3,0.003936501
18,40,1,4,0.003911858
18,40,1,5,0.003935221
18,128,1,0,0.014899782
18,128,1,1,0.014266550
18,128,1,2,0.014125858
18,128,1,3,0.014024533
18,128,1,4,0.013957053
18,128,1,5,0.013987275
18,129,1,0,0.014194364
18,129,1,1,0.014110075
18,129,1,2,0.014076194
18,129,1,3,0.014061186
18,129,1,4,0.014051308
18,129,1,5,0.014022398
16,925,1,0,0.027111999
16,925,1,1,0.024718457
16,925,1,2,0.024564285
16,925,1,3,0.024530180
16,925,1,4,0.024639896
16,925,1,5,0.024586830
18,40,2,0,0.008059902
18,40,2,1,0.005703960
18,40,2,2,0.005649522
18,40,2,3,0.005648449
18,40,2,4,0.005561230
18,40,2,5,0.005583219
20,533,2,0,0.417515775
20,533,2,1,0.386399908
20,533,2,2,0.386232754
20,533,2,3,0.385915141
20,533,2,4,0.385701471
20,533,2,5,0.385929202
24,6,2,0,0.320265988
24,6,2,1,0.170412689
24,6,2,2,0.169529067
24,6,2,3,0.169634800
24,6,2,4,0.169401053
24,6,2,5,0.169350725
24,17,2,0,0.221675748
24,17,2,1,0.215841296
24,17,2,2,0.215942566
24,17,2,3,0.215333519
24,17,2,4,0.215256249
24,17,2,5,0.215453114
22,2,2,0,0.046448740
22,2,2,1,0.009864954
22,2,2,2,0.009746188
22,2,2,3,0.009696384
22,2,2,4,0.009651585
22,2,2,5,0.009546765
20,2,2,0,0.001505882
20,2,2,1,0.001470019
20,2,2,2,0.001442081
20,2,2,3,0.001427647
20,2,2,4,0.001409283
20,2,2,5,0.001418069
