log_height,width,added_bits,iteration,seconds
20,1,1,0,0.036753502
20,1,1,1,0.000563069
20,1,1,2,0.000530605
20,1,1,3,0.000509626
20,1,1,4,0.000512740
20,1,1,5,0.000493543
20,1,1,6,0.000495436
20,1,1,7,0.000500747
20,2,1,0,0.001196774
20,2,1,1,0.001036079
20,2,1,2,0.001025245
20,2,1,3,0.000990623
20,2,1,4,0.000986908
20,2,1,5,0.000981693
20,2,1,6,0.000989123
20,2,1,7,0.000966285
20,8,1,0,0.003833290
20,8,1,1,0.003190340
20,8,1,2,0.002975439
20,8,1,3,0.002898587
20,8,1,4,0.002782203
20,8,1,5,0.002747032
20,8,1,6,0.002727889
20,8,1,7,0.002719178
18,40,1,0,0.004900691
18,40,1,1,0.003398242
18,40,1,2,0.003349136
18,40,1,3,0.003343874
18,40,1,4,0.003331588
18,40,1,5,0.003280110
18,40,1,6,0.003301726
18,40,1,7,0.003314147
18,128,1,0,0.011689969
18,128,1,1,0.010528242
18,128,1,2,0.010509537
18,128,1,3,0.010421707
18,128,1,4,0.010294019
18,128,1,5,0.010229862
18,128,1,6,0.010226589
18,128,1,7,0.010235852
18,129,1,0,0.011157528
18,129,1,1,0.011131695
18,129,1,2,0.011149112
18,129,1,3,0.011103660
18,129,1,4,0.011075018
18,129,1,5,0.011158749
18,129,1,6,0.011159398
18,129,1,7,0.011046890
16,925,1,0,0.021282439
16,925,1,1,0.018750684
16,925,1,2,0.018712358
16,925,1,3,0.018595312
16,925,1,4,0.018473072
16,925,1,5,0.018504710
16,925,1,6,0.018605531
16,925,1,7,0.018453468
18,40,2,0,0.004438996
18,40,2,1,0.004333099
18,40,2,2,0.004245940
18,40,2,3,0.004207732
18,40,2,4,0.004192278
18,40,2,5,0.004186543
18,40,2,6,0.004169630
18,40,2,7,0.004178094
20,533,2,0,0.305756343
20,533,2,1,0.278953516
20,533,2,2,0.278600531
20,533,2,3,0.278522390
20,533,2,4,0.278641325
20,533,2,5,0.278475375
20,533,2,6,0.277734894
20,533,2,7,0.277700753
24,6,2,0,0.098249165
24,6,2,1,0.056251197
24,6,2,2,0.055365564
24,6,2,3,0.055037651
24,6,2,4,0.054987752
24,6,2,5,0.054730119
24,6,2,6,0.054711362
24,6,2,7,0.054611678
24,17,2,0,0.200166769
24,17,2,1,0.193894358
24,17,2,2,0.193537984
24,17,2,3,0.193767933
24,17,2,4,0.193828956
24,17,2,5,0.193487768
24,17,2,6,0.193861284
24,17,2,7,0.193597833
22,2,2,0,0.013993524
22,2,2,1,0.003726339
22,2,2,2,0.003620276
22,2,2,3,0.003605529
22,2,2,4,0.003557992
22,2,2,5,0.003551448
22,2,2,6,0.003584020
22,2,2,7,0.003534118
20,2,2,0,0.001016697
20,2,2,1,0.001006743
20,2,2,2,0.001004414
20,2,2,3,0.000982261
20,2,2,4,0.000983904
20,2,2,5,0.000995685
20,2,2,6,0.000989306
20,2,2,7,0.000991844
8,20,2,0,0.000090897
8,20,2,1,0.000150863
8,20,2,2,0.000028604
8,20,2,3,0.000026448
8,20,2,4,0.000028343
8,20,2,5,0.000028003
8,20,2,6,0.000026684
8,20,2,7,0.000026683
10,33,2,0,0.000161141
10,33,2,1,0.000046691
10,33,2,2,0.000043747
10,33,2,3,0.000042719
10,33,2,4,0.000042539
10,33,2,5,0.000044831
10,33,2,6,0.000044332
10,33,2,7,0.000044605
12,8,2,0,0.000139513
12,8,2,1,0.000047482
12,8,2,2,0.000046718
12,8,2,3,0.000046796
12,8,2,4,0.000048643
12,8,2,5,0.000046462
12,8,2,6,0.000046467
12,8,2,7,0.000046559
14,40,2,0,0.000526192
14,40,2,1,0.000392925
14,40,2,2,0.000391504
14,40,2,3,0.000388238
14,40,2,4,0.000402572
14,40,2,5,0.000387834
14,40,2,6,0.000404613
14,40,2,7,0.000388107
15,129,2,0,0.001963675
15,129,2,1,0.001851683
15,129,2,2,0.001829314
15,129,2,3,0.001813688
15,129,2,4,0.001817791
15,129,2,5,0.001800726
15,129,2,6,0.001816642
15,129,2,7,0.001817738
16,2,2,0,0.000127576
16,2,2,1,0.000112120
16,2,2,2,0.000111246
16,2,2,3,0.000109041
16,2,2,4,0.000108606
16,2,2,5,0.000111013
16,2,2,6,0.000109467
16,2,2,7,0.000110536
17,16,2,0,0.001944537
17,16,2,1,0.001002173
17,16,2,2,0.000976050
17,16,2,3,0.000975423
17,16,2,4,0.000954837
17,16,2,5,0.000968608
17,16,2,6,0.000935740
17,16,2,7,0.000949440
18,2,2,0,0.000355333
18,2,2,1,0.000343707
18,2,2,2,0.000336765
18,2,2,3,0.000333933
18,2,2,4,0.000333910
18,2,2,5,0.000351672
18,2,2,6,0.000332934
18,2,2,7,0.000335087
19,2,2,0,0.001556025
19,2,2,1,0.000584012
19,2,2,2,0.000584116
19,2,2,3,0.000557610
19,2,2,4,0.000547959
19,2,2,5,0.000569232
19,2,2,6,0.000547605
19,2,2,7,0.000554129
19,49,2,0,0.012486011
19,49,2,1,0.012373456
19,49,2,2,0.012237504
19,49,2,3,0.012096530
19,49,2,4,0.011981217
19,49,2,5,0.011851324
19,49,2,6,0.011828398
19,49,2,7,0.011813829
