log_height,width,added_bits,iteration,seconds
20,1,1,0,0.034564972
20,1,1,1,0.000726703
20,1,1,2,0.000711664
20,1,1,3,0.000672865
20,1,1,4,0.000644788
20,1,1,5,0.000662654
20,2,1,0,0.001262426
20,2,1,1,0.001159022
20,2,1,2,0.001109647
20,2,1,3,0.001116891
20,2,1,4,0.001111876
20,2,1,5,0.001112127
20,8,1,0,0.003611213
20,8,1,1,0.003348631
20,8,1,2,0.003225421
20,8,1,3,0.003198672
20,8,1,4,0.003225182
20,8,1,5,0.003225694
18,40,1,0,0.007183186
18,40,1,1,0.004801244
18,40,1,2,0.004772284
18,40,1,3,0.004750014
18,40,1,4,0.004817300
18,40,1,5,0.004705996
18,128,1,0,0.015478564
18,128,1,1,0.015893130
18,128,1,2,0.015820066
18,128,1,3,0.015886290
18,128,1,4,0.015772355
18,128,1,5,0.015968350
18,129,1,0,0.014790645
18,129,1,1,0.015905379
18,129,1,2,0.015997217
18,129,1,3,0.015911052
18,129,1,4,0.015804500
18,129,1,5,0.015826554
16,925,1,0,0.054343048
16,925,1,1,0.056125560
16,925,1,2,0.056995669
16,925,1,3,0.056528140
16,925,1,4,0.057053383
16,925,1,5,0.056778305
18,40,2,0,0.008377257
18,40,2,1,0.006808223
18,40,2,2,0.006758694
18,40,2,3,0.006714142
18,40,2,4,0.006776315
18,40,2,5,0.006740090
20,533,2,0,0.338410337
20,533,2,1,0.314955751
20,533,2,2,0.314612846
20,533,2,3,0.314567607
20,533,2,4,0.314597298
20,533,2,5,0.313744432
24,6,2,0,0.187730435
24,6,2,1,0.071691605
24,6,2,2,0.071335549
24,6,2,3,0.071206710
24,6,2,4,0.071216616
24,6,2,5,0.071287545
24,17,2,0,0.221494056
24,17,2,1,0.218728045
24,17,2,2,0.218418288
24,17,2,3,0.219409318
24,17,2,4,0.218095235
24,17,2,5,0.218495918
22,2,2,0,0.035393775
22,2,2,1,0.004515161
22,2,2,2,0.004514802
22,2,2,3,0.004508787
22,2,2,4,0.004478058
22,2,2,5,0.004488822
20,2,2,0,0.001371384
20,2,2,1,0.001253850
20,2,2,2,0.001221407
20,2,2,3,0.001256437
20,2,2,4,0.001221681
20,2,2,5,0.001220797
