=== Circuit Statistics ===
Circuits: 730
Total width: 33331
Total FFT cost: 135187270227 (1.35e11)
Total cache hits: 72393508
Total saved cost: 57.23%
----------------------------------------------------------------------------------------------------------------------------------------------
Name                                                                               Width Sel Aux Lkp  Height     Hits FFT cost       %     %++
----------------------------------------------------------------------------------------------------------------------------------------------
expr_inst_many_walk                                                                   34   9   8   5 5471753        0  2.10e10  15.55%  15.55%
expr_inst_many                                                                        21   2   4   4 6975351  1584350  1.69e10  12.50%  28.05%
blake3_compress_inner_j                                                              696   1 369 193  151585        0   9.08e9   6.72%  34.77%
memory[3]                                                                             12   0   0   0 6181533 17946311   8.59e9   6.35%  41.12%
list_snoc.G                                                                           22   2   6   4 2593801   881702   6.17e9   4.57%  45.69%
peel_beta                                                                             32   3  12   5 1637758    10634   5.47e9   4.05%  49.73%
list_drop.Ptr.Expr                                                                    20   2   6   3 2151895  1151414   4.60e9   3.41%  53.14%
blake3_compress_chunks                                                                29   3   7   4 1288914        0   3.84e9   2.84%  55.98%
whnf_with_spine                                                                       34   6  11   5 1108779    14944   3.82e9   2.83%  58.81%
expr_inst_many_bvar                                                                   24   2   5   5 1528825        0   3.82e9   2.83%  61.64%
list_concat.Ptr.KExprNode                                                             22   2   6   4 1505977   731709   3.45e9   2.55%  64.19%
expr_lbr                                                                              35   9   9   6  870475  9468745   3.04e9   2.25%  66.44%
collect_spine                                                                         23   2   8   4 1199012   836589   2.83e9   2.09%  68.53%
k_infer_app_spine_loop                                                                59   8  21  11  470161      506   2.63e9   1.95%  70.48%
memory[4]                                                                             13   0   0   0 1735873 17182092   2.40e9   1.78%  72.25%
list_lookup.Ptr.KLevelNode                                                            16   1   5   3 1364948   403575   2.27e9   1.68%  73.94%
list_length.Ptr.KExprNode                                                             18   2   5   3 1166659  2680089   2.16e9   1.60%  75.53%
get_expr                                                                              50  12  23   5  391929       17   1.83e9   1.36%  76.89%
whnf_const_head                                                                       77  16  32  10  246268        0   1.71e9   1.26%  78.15%
blake3_compress                                                                     1080   1 929  40   21655       14   1.68e9   1.25%  79.40%
convert_expr                                                                          60  12  25   7  292994   154982   1.61e9   1.19%  80.59%
get_tag4                                                                              37   2  22   4  393551        0   1.37e9   1.01%  81.60%
apply_spine_expr                                                                      22   2   6   4  618392    83404   1.33e9   0.98%  82.58%
get_u64_le                                                                            28   2  14   3  422899       22   1.12e9   0.83%  83.41%
whnf_apply_beta                                                                       34   3  10   7  339939        0   1.07e9   0.79%  84.21%
get_app_telescope                                                                     43   2  15   6  264610        0   1.03e9   0.77%  84.97%
expr_inst1_walk                                                                       34   9   8   5  326314        0   1.03e9   0.76%  85.73%
expr_glb_walk                                                                         34  10   8   5  295964        0   9.25e8   0.68%  86.42%
g_list_has                                                                            21   3   6   3  413484     3025   8.25e8   0.61%  87.03%
validate_expr_well_scoped                                                             52   9  20   8  176535   152144   8.06e8   0.60%  87.62%
expr_inst1                                                                            21   2   4   4  400830   220687   7.98e8   0.59%  88.21%
expr_lift                                                                             23   3   5   4  359613  1596071   7.76e8   0.57%  88.79%
try_reduce_projection_definition                                                      59   3  24  13  151416    11396   7.74e8   0.57%  89.36%
const_idxs_expr                                                                       52   7  26   7  160015   209196   7.25e8   0.54%  89.90%
k_infer_core                                                                          53   9  22   8  156068    76251   7.19e8   0.53%  90.43%
expr_lift_walk                                                                        34   9   8   5  232640        0   7.13e8   0.53%  90.96%
try_prim_dispatch                                                                     30   6   8   4  254764    16347   6.95e8   0.51%  91.47%
list_take.Ptr.KExprNode                                                               23   2   7   4  311258    46370   6.64e8   0.49%  91.96%
expr_lower_walk                                                                       53  10  18   9  141436        0   6.46e8   0.48%  92.44%
expr_glb                                                                              21   2   5   4  307017   351230   5.99e8   0.44%  92.88%
try_iota                                                                             108   5  39  25   66939     2106   5.82e8   0.43%  93.31%
whnf                                                                                  38   6  14   6  157482    59630   5.22e8   0.39%  93.70%
safe_refs_only                                                                        43   9  19   5  140151   138582   5.20e8   0.38%  94.09%
try_nat_linear_rec                                                                    75   5  27  17   66603      305   4.03e8   0.30%  94.38%
bytes_to_block                                                                       265   1 193  65   20371      601   3.87e8   0.29%  94.67%
memory[18]                                                                            27   0   0   0  160015   742479   3.79e8   0.28%  94.95%
expr_lower                                                                            23   3   5   4  159506   145656   3.23e8   0.24%  95.19%
k_infer                                                                               15   1   4   4  232319    67885   3.19e8   0.24%  95.42%
whnf_nd_with_spine                                                                    34   6  11   5  108049     5848   3.11e8   0.23%  95.65%
k_is_def_eq                                                                           29   3   7   6  124776   117155   3.11e8   0.23%  95.88%
get_expr_list                                                                         42   2  15   6   88735      268   3.09e8   0.23%  96.11%
blake3_compress_block                                                                211   2 169  15   19287        0   2.90e8   0.21%  96.33%
whnf_proj_head                                                                        61   4  28  10   47524        0   2.27e8   0.17%  96.50%
k_check                                                                               15   1   3   3  159446   212233   2.12e8   0.16%  96.65%
ctx_trim                                                                              52   3  19  12   48396   403673   1.98e8   0.15%  96.80%
try_def_eq_app                                                                        49   6  18   9   50776     2516   1.96e8   0.15%  96.94%
de_args                                                                               32   5  10   5   67744    21012   1.76e8   0.13%  97.08%
const_idxs_exprs                                                                      24   2   7   5   86624     1620   1.74e8   0.13%  97.20%
get_u64_list                                                                          49   2  22   6   44676        0   1.71e8   0.13%  97.33%
get_tag0                                                                              40   2  23   5   50253     2087   1.59e8   0.12%  97.45%
get_address                                                                          138   1  98  34   15781       90   1.52e8   0.11%  97.56%
whnf_nd                                                                               38   6  14   6   49692    10756   1.49e8   0.11%  97.67%
try_reduce_fin_val_decidable_rec                                                     149   9  58  37   14010    42719   1.44e8   0.11%  97.78%
cleanup_nat_offset_major                                                              45   5  19   8   37490    96326   1.30e8   0.10%  97.87%
Bytes2                                                                                24   0   0   0   65536        0   1.28e8   0.09%  97.97%
k_def_eq_rebase                                                                       44   2  12  11   36566        0   1.23e8   0.09%  98.06%
whnf_iota_major                                                                       51   3  24   9   30949    36035   1.19e8   0.09%  98.15%
k_is_def_eq_core                                                                      40   2  15   8   37176    11532   1.14e8   0.08%  98.23%
address_eq                                                                            82   2  66   4   19339   105521   1.14e8   0.08%  98.32%
whnf_nd_const_head                                                                    55   9  23   7   24843        0   1.01e8   0.07%  98.39%
