=== Circuit Statistics ===
Circuits: 730
Total width: 33331
Total FFT cost: 49507530863 (4.95e10)
Total cache hits: 22638136
Total saved cost: 51.38%
---------------------------------------------------------------------------------------------------------------------------------------------
Name                                                                               Width Sel Aux Lkp  Height    Hits FFT cost       %     %++
---------------------------------------------------------------------------------------------------------------------------------------------
blake3_compress_inner_j                                                              696   1 369 193  136626       0   8.12e9  16.39%  16.39%
memory[3]                                                                             12   0   0   0 2947763 6323771   3.91e9   7.89%  24.29%
blake3_compress_chunks                                                                29   3   7   4 1157705       0   3.42e9   6.91%  31.20%
expr_inst_many_walk                                                                   34   9   8   5  915195       0   3.11e9   6.29%  37.49%
expr_inst_many                                                                        21   2   4   4 1199626  299856   2.59e9   5.23%  42.72%
blake3_compress                                                                     1080   1 929  40   19518      15   1.50e9   3.04%  45.75%
get_expr                                                                              50  12  23   5  309599      20   1.42e9   2.87%  48.63%
convert_expr                                                                          60  12  25   7  240901  122716   1.30e9   2.63%  51.25%
k_infer_app_spine_loop                                                                59   8  21  11  241267     677   1.28e9   2.59%  53.84%
list_drop.Ptr.Expr                                                                    20   2   6   3  592814  270333   1.16e9   2.34%  56.18%
expr_lbr                                                                              35   9   9   6  350993 2611613   1.14e9   2.31%  58.49%
list_snoc.G                                                                           22   2   6   4  521574  184967   1.11e9   2.24%  60.73%
get_tag4                                                                              37   2  22   4  311460       0   1.06e9   2.15%  62.88%
g_list_has                                                                            21   3   6   3  396339    3419   7.88e8   1.59%  64.47%
get_app_telescope                                                                     43   2  15   6  204828       0   7.84e8   1.58%  66.05%
expr_glb_walk                                                                         34  10   8   5  231083       0   7.08e8   1.43%  67.48%
validate_expr_well_scoped                                                             52   9  20   8  144351  118355   6.48e8   1.31%  68.79%
peel_beta                                                                             32   3  12   5  221723    3113   6.38e8   1.29%  70.08%
memory[4]                                                                             13   0   0   0  497573 4533682   6.30e8   1.27%  71.35%
expr_inst_many_bvar                                                                   24   2   5   5  278974       0   6.16e8   1.24%  72.60%
expr_inst1_walk                                                                       34   9   8   5  202168       0   6.13e8   1.24%  73.84%
get_u64_le                                                                            28   2  14   3  240867      22   6.12e8   1.24%  75.07%
collect_spine                                                                         23   2   8   4  281491  197009   5.96e8   1.20%  76.28%
