=== Circuit Statistics ===
Circuits: 185
Total width: 15763
Total FFT cost: 147111354325 (1.47e11)
Total cache hits: 72393508
Total saved cost: 63.21%
--------------------------------------------------------------------------------------------
Name                             Width Sel Aux Lkp  Height     Hits FFT cost       %     %++
--------------------------------------------------------------------------------------------
expr_inst_many_walk                 34   9   8   5 5471753        0  2.10e10  14.29%  14.29%
expr_inst_many                      21   2   4   4 6975351  1584350  1.69e10  11.49%  25.78%
blake3_compress_inner_j            696   1 369 193  151585        0   9.08e9   6.17%  31.95%
memory[3]                           12   0   0   0 6181533 17946311   8.59e9   5.84%  37.79%
list_snoc.G                         22   2   6   4 2593801   881702   6.17e9   4.20%  41.99%
peel_beta                           32   3  12   5 1637758    10634   5.47e9   3.72%  45.70%
list_drop.Ptr.Expr                  20   2   6   3 2151895  1151414   4.60e9   3.13%  48.83%
blake3_compress_chunks              29   3   7   4 1288914        0   3.84e9   2.61%  51.44%
whnf_with_spine                     34   6  11   5 1108779    14944   3.82e9   2.60%  54.04%
expr_inst_many_bvar                 24   2   5   5 1528825        0   3.82e9   2.60%  56.64%
list_concat.Ptr.KExprNode           22   2   6   4 1505977   731709   3.45e9   2.35%  58.99%
expr_lbr                            35   9   9   6  870475  9468745   3.04e9   2.06%  61.05%
collect_spine                       23   2   8   4 1199012   836589   2.83e9   1.92%  62.98%
k_shape_12                          74  40   7   4  382500   102913   2.64e9   1.79%  64.77%
k_infer_app_spine_loop              59   8  21  11  470161      506   2.63e9   1.79%  66.56%
memory[4]                           13   0   0   0 1735873 17182092   2.40e9   1.63%  68.19%
list_lookup.Ptr.KLevelNode          16   1   5   3 1364948   403575   2.27e9   1.55%  69.74%
list_length.Ptr.KExprNode           18   2   5   3 1166659  2680089   2.16e9   1.47%  71.20%
get_expr                            50  12  23   5  391929       17   1.83e9   1.25%  72.45%
k_shape_32                         114  31  15   8  178303    25645   1.78e9   1.21%  73.66%
whnf_const_head                     77  16  32  10  246268        0   1.71e9   1.16%  74.82%
