=== Circuit Statistics ===
Circuits: 185
Total width: 15763
Total FFT cost: 56219185748 (5.62e10)
Total cache hits: 22638136
Total saved cost: 56.54%
-------------------------------------------------------------------------------------------
Name                             Width Sel Aux Lkp  Height    Hits FFT cost       %     %++
-------------------------------------------------------------------------------------------
blake3_compress_inner_j            696   1 369 193  136626       0   8.12e9  14.44%  14.44%
memory[3]                           12   0   0   0 2947763 6323771   3.91e9   6.95%  21.39%
blake3_compress_chunks              29   3   7   4 1157705       0   3.42e9   6.09%  27.48%
expr_inst_many_walk                 34   9   8   5  915195       0   3.11e9   5.54%  33.01%
expr_inst_many                      21   2   4   4 1199626  299856   2.59e9   4.60%  37.62%
blake3_compress                   1080   1 929  40   19518      15   1.50e9   2.67%  40.29%
get_expr                            50  12  23   5  309599      20   1.42e9   2.53%  42.82%
k_shape_32                         114  31  15   8  139484   10824   1.36e9   2.43%  45.25%
convert_expr                        60  12  25   7  240901  122716   1.30e9   2.31%  47.56%
k_infer_app_spine_loop              59   8  21  11  241267     677   1.28e9   2.28%  49.84%
list_drop.Ptr.Expr                  20   2   6   3  592814  270333   1.16e9   2.06%  51.90%
expr_lbr                            35   9   9   6  350993 2611613   1.14e9   2.04%  53.93%
k_shape_08                          75  40   5   4  170460   41825   1.12e9   1.99%  55.92%
list_snoc.G                         22   2   6   4  521574  184967   1.11e9   1.97%  57.89%
get_tag4                            37   2  22   4  311460       0   1.06e9   1.89%  59.78%
k_shape_07                          68  38   4   4  168577   17839   1.00e9   1.78%  61.56%
k_shape_06                          94  33   3   4  102822   89536   8.08e8   1.44%  63.00%
g_list_has                          21   3   6   3  396339    3419   7.88e8   1.40%  64.40%
get_app_telescope                   43   2  15   6  204828       0   7.84e8   1.40%  65.80%
expr_glb_walk                       34  10   8   5  231083       0   7.08e8   1.26%  67.06%
k_shape_14                          89  16   7   7   89851   47335   6.61e8   1.18%  68.23%
validate_expr_well_scoped           52   9  20   8  144351  118355   6.48e8   1.15%  69.39%
k_shape_12                          74  40   7   4  103208   48896   6.40e8   1.14%  70.53%
peel_beta                           32   3  12   5  221723    3113   6.38e8   1.13%  71.66%
memory[4]                           13   0   0   0  497573 4533682   6.30e8   1.12%  72.78%
expr_inst_many_bvar                 24   2   5   5  278974       0   6.16e8   1.10%  73.88%
expr_inst1_walk                     34   9   8   5  202168       0   6.13e8   1.09%  74.97%
get_u64_le                          28   2  14   3  240867      22   6.12e8   1.09%  76.05%
collect_spine                       23   2   8   4  281491  197009   5.96e8   1.06%  77.12%
list_concat.Ptr.KExprNode           22   2   6   4  278551  242297   5.64e8   1.00%  78.12%
whnf_with_spine                     34   6  11   5  175764    4941   5.27e8   0.94%  79.06%
expr_lower_walk                     53  10  18   9  115078       0   5.17e8   0.92%  79.98%
k_infer_core                        53   9  22   8  112780   54815   5.06e8   0.90%  80.87%
expr_inst1                          21   2   4   4  261823  104786   5.04e8   0.90%  81.77%
const_idxs_expr                     52   7  26   7  110757  166346   4.87e8   0.87%  82.64%
k_shape_45                          89  31  23   9   65208    9293   4.66e8   0.83%  83.47%
expr_glb                            21   2   5   4  240811  257285   4.61e8   0.82%  84.29%
list_lookup.Ptr.KLevelNode          16   1   5   3  294825   71690   4.39e8   0.78%  85.07%
k_shape_13                          84  38   7   5   64872    6348   4.38e8   0.78%  85.85%
k_shape_30                          64  22  14   6   78610   23007   4.12e8   0.73%  86.58%
list_length.Ptr.KExprNode           18   2   5   3  249239  712085   4.11e8   0.73%  87.31%
expr_lift_walk                      34   9   8   5  139072       0   4.09e8   0.73%  88.04%
safe_refs_only                      43   9  19   5  111679  109780   4.07e8   0.72%  88.76%
k_shape_39                          91  36  19  14   55560  202576   4.00e8   0.71%  89.47%
expr_lift                           23   3   5   4  182612  389282   3.74e8   0.66%  90.14%
bytes_to_block                     265   1 193  65   18371     661   3.45e8   0.61%  90.75%
k_shape_17                          70  39   9   6   52011   17320   2.87e8   0.51%  91.26%
k_shape_16                         118  39   9   8   31099    1468   2.75e8   0.49%  91.75%
whnf_const_head                     77  16  32  10   44889       0   2.69e8   0.48%  92.23%
k_shape_82                         213   5 100  51   17795     109   2.68e8   0.48%  92.71%
expr_lower                          23   3   5   4  130790  108524   2.60e8   0.46%  93.17%
memory[18]                          27   0   0   0  110757  606238   2.55e8   0.45%  93.62%
blake3_compress_block              211   2 169  15   17109       0   2.54e8   0.45%  94.08%
k_shape_24                          74  40  12   7   43922    5158   2.52e8   0.45%  94.52%
k_shape_43                          65  14  22   7   47013     124   2.39e8   0.42%  94.95%
k_shape_76                         109  20  68   7   24620  102066   1.97e8   0.35%  95.30%
apply_spine_expr                    22   2   6   4  104043   16635   1.94e8   0.35%  95.64%
k_shape_11                         102  39   7   6   24312    1271   1.82e8   0.32%  95.97%
k_shape_09                          65  40   6   5   34183   58169   1.69e8   0.30%  96.27%
k_shape_35                          80  12  16  16   28108    2610   1.67e8   0.30%  96.56%
k_shape_37                          91  30  18  12   23588    1702   1.57e8   0.28%  96.84%
try_reduce_projection_definition    59   3  24  13   29751    4863   1.31e8   0.23%  97.08%
